policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.13915529  0.06237573 -0.03234142 ...,  0.34451491  0.001      -0.016     ]","[-0.17122793  0.22906081 -0.06537623 ..., -0.41917694  0.003      -0.012     ]","[-0.07201779  0.19046959 -0.08149283 ...,  0.36437688  0.001      -0.016     ]","[-0.08349666  0.20875691  0.15149168 ...,  0.38156083  0.001      -0.008     ]","[ 0.15942466 -0.19483804 -0.16695441 ..., -0.24467967 -0.0005     -0.0135    ]"
"[ 0.14015529  0.06337573 -0.03134142 ...,  0.34551491  0.002      -0.017     ]","[-0.17072793  0.22856081 -0.06487623 ..., -0.41967694  0.0025     -0.0125    ]","[-0.07501779  0.19346959 -0.07849283 ...,  0.36737688 -0.001      -0.019     ]","[ -8.14966567e-02   2.10756911e-01   1.49491683e-01 ...,   3.82560832e-01
   5.72196589e-11  -1.09999998e-02]","[ 0.15742466 -0.19283804 -0.16795441 ..., -0.24667967  0.0005     -0.0155    ]"
"[ 0.14165529  0.06487573 -0.02984142 ...,  0.3470149   0.0015     -0.0185    ]","[-0.16772793  0.22656081 -0.06187623 ..., -0.42267694  0.0015     -0.0155    ]","[-0.07551779  0.19396959 -0.07799283 ...,  0.36787688 -0.0005     -0.0195    ]","[ -8.14966567e-02   2.10756911e-01   1.49491683e-01 ...,   3.82560832e-01
   5.84167888e-11  -1.19999998e-02]","[ 0.15642466 -0.19183804 -0.16895441 ..., -0.24767967 -0.0005     -0.0165    ]"
"[ 0.14165529  0.06687573 -0.02784142 ...,  0.3490149  -0.0005     -0.0205    ]","[-0.16522793  0.22506081 -0.06037623 ..., -0.42517694  0.002      -0.018     ]","[-0.07651779  0.19696958 -0.07699283 ...,  0.37087688 -0.0005     -0.0225    ]","[-0.08049666  0.20975691  0.14849168 ...,  0.38456083  0.001      -0.014     ]","[ 0.15592466 -0.19133804 -0.16945441 ..., -0.25017967 -0.002      -0.019     ]"
"[ 0.14065529  0.06687573 -0.02684142 ...,  0.3500149  -0.0005     -0.0215    ]","[-0.16422793  0.22606081 -0.06137623 ..., -0.42617694  0.003      -0.019     ]","[ -7.70178516e-02   1.98469584e-01  -7.64928250e-02 ...,   3.73376878e-01
   1.52281040e-11  -2.49999999e-02]","[-0.08099666  0.20825691  0.14899168 ...,  0.38606083  0.0015     -0.0155    ]","[ 0.15492466 -0.19033804 -0.17045441 ..., -0.25117967 -0.001      -0.02      ]"
"[ 0.14215529  0.06937573 -0.02434142 ...,  0.3525149   0.002      -0.024     ]","[-0.16272793  0.22556081 -0.06087623 ..., -0.42867694  0.0005     -0.0215    ]","[-0.07801785  0.19746958 -0.07549283 ...,  0.37437688 -0.001      -0.026     ]","[ -8.04966568e-02   2.05756912e-01   1.48491683e-01 ...,   3.88560832e-01
   4.28513778e-11  -1.79999998e-02]","[ 0.15542466 -0.19083804 -0.16995441 ..., -0.25167967 -0.0005     -0.0205    ]"
"[ 0.13965529  0.06887573 -0.02184143 ...,  0.3540149   0.0035     -0.0265    ]","[-0.16072793  0.22456081 -0.05987623 ..., -0.43067694  0.0025     -0.0235    ]","[-0.07751785  0.19696958 -0.07599283 ...,  0.37687688 -0.0005     -0.0285    ]","[-0.07949666  0.20675691  0.14749168 ...,  0.38956083 -0.001      -0.019     ]","[  1.54924661e-01  -1.89338038e-01  -1.71454409e-01 ...,  -2.54179669e-01
   4.93991810e-10  -2.29999999e-02]"
"[ 0.13915529  0.06937573 -0.02134143 ...,  0.3545149   0.003      -0.027     ]","[-0.15922793  0.22306081 -0.05837623 ..., -0.43217694  0.004      -0.025     ]","[-0.07851785  0.19796958 -0.07499283 ...,  0.37787688 -0.0005     -0.0305    ]","[-0.07899666  0.20725691  0.14699168 ...,  0.39006083 -0.0005     -0.0195    ]","[ 0.15642466 -0.19083804 -0.16995441 ..., -0.25467967  0.0015     -0.0245    ]"
"[  1.37155290e-01   6.93757295e-02  -1.93414258e-02 ...,   3.55514905e-01
   3.02426984e-09  -2.99999999e-02]","[-0.15672793  0.22356081 -0.05887623 ..., -0.43467694  0.0035     -0.0275    ]","[ -7.80178515e-02   1.96469584e-01  -7.54928251e-02 ...,   3.79376878e-01
  -1.44258557e-11  -3.19999999e-02]","[-0.07849666  0.20775691  0.14649168 ...,  0.39156083  0.001      -0.021     ]","[  1.55924661e-01  -1.89338038e-01  -1.71454408e-01 ...,  -2.57179669e-01
   5.02967047e-10  -2.69999999e-02]"
"[ 0.13565529  0.07087573 -0.01784143 ...,  0.35801491  0.0005     -0.0325    ]","[-0.15522793  0.22406081 -0.05937623 ..., -0.43617694  0.005      -0.029     ]","[ -7.80178515e-02   1.96469584e-01  -7.54928251e-02 ...,   3.80376878e-01
  -1.35532176e-11  -3.29999999e-02]","[-0.07599666  0.20925691  0.14399168 ...,  0.39106083 -0.0015     -0.0235    ]","[ 0.15642466 -0.18983804 -0.17095441 ..., -0.25767967 -0.0005     -0.0275    ]"
"[ 0.13665529  0.07187573 -0.01884143 ...,  0.35901491 -0.0005     -0.0335    ]","[-0.15372793  0.22556081 -0.06087623 ..., -0.43767694  0.0035     -0.0305    ]","[-0.07751785  0.19496959 -0.07599283 ...,  0.38187688 -0.0015     -0.0345    ]","[-0.07449666  0.20975691  0.14249168 ...,  0.38956083 -0.003      -0.026     ]","[ 0.15542466 -0.18883804 -0.17095441 ..., -0.26067967  0.0015     -0.0305    ]"
"[ 0.13715529  0.07337573 -0.02134143 ...,  0.3615149  -0.002      -0.036     ]","[-0.15522793  0.22406081 -0.05937623 ..., -0.43917694  0.002      -0.032     ]","[-0.07751785  0.19496959 -0.07599283 ...,  0.38287688  0.0005     -0.0365    ]","[-0.07499666  0.20925691  0.14299168 ...,  0.39006083 -0.0035     -0.0265    ]","[  1.56924661e-01  -1.90338037e-01  -1.69454409e-01 ...,  -2.63179669e-01
   5.09756396e-10  -3.29999999e-02]"
"[ 0.13715529  0.07337573 -0.02234143 ...,  0.3625149  -0.001      -0.037     ]","[-0.15622793  0.22306081 -0.05837623 ..., -0.44017694  0.003      -0.034     ]","[-0.07801785  0.19546959 -0.07549283 ...,  0.38537688  0.001      -0.039     ]","[-0.07699666  0.20725691  0.14499168 ...,  0.39206083 -0.0005     -0.0295    ]","[ 0.15592466 -0.18933804 -0.17045441 ..., -0.26417967 -0.001      -0.034     ]"
"[ 0.13465529  0.07587573 -0.01984143 ...,  0.3650149  -0.0005     -0.0365    ]","[-0.15572793  0.22356081 -0.05887623 ..., -0.44167694  0.0045     -0.0355    ]","[-0.07701785  0.19446959 -0.07649283 ...,  0.38637688  0.001      -0.04      ]","[-0.07649666  0.20775691  0.14449168 ...,  0.39356083  0.001      -0.032     ]","[ 0.15742466 -0.18983804 -0.16995441 ..., -0.26567967 -0.0025     -0.0365    ]"
"[ 0.13315529  0.07737573 -0.02034143 ...,  0.3665149   0.001      -0.038     ]","[-0.15622793  0.22306081 -0.05837623 ..., -0.44417694  0.005      -0.038     ]","[-0.07851785  0.19596959 -0.07499283 ...,  0.38887688 -0.0015     -0.0425    ]","[ -7.54966569e-02   2.06756913e-01   1.45491683e-01 ...,   3.94560831e-01
   1.31341384e-10  -3.29999998e-02]","[ 0.15792466 -0.19033804 -0.16945441 ..., -0.26617967 -0.002      -0.037     ]"
"[ 0.13415529  0.07737573 -0.02134143 ...,  0.3665149  -0.001      -0.04      ]","[-0.15572793  0.22356081 -0.05887623 ..., -0.44567694  0.0065     -0.0395    ]","[-0.07801785  0.19546959 -0.07549283 ...,  0.39137688 -0.002      -0.045     ]","[-0.07299666  0.20825691  0.14299168 ...,  0.39706083 -0.0025     -0.0355    ]","[ 0.15892466 -0.19133804 -0.16845441 ..., -0.26917967 -0.001      -0.039     ]"
"[ 0.13265529  0.07987573 -0.01984143 ...,  0.3690149  -0.0025     -0.0425    ]","[-0.15672793  0.22256081 -0.05787623 ..., -0.44667694  0.0045     -0.0405    ]","[-0.07851785  0.19596959 -0.07499283 ...,  0.39187688 -0.0025     -0.0455    ]","[-0.07199666  0.20925691  0.14199168 ...,  0.39906083 -0.0035     -0.0365    ]","[ 0.15942466 -0.19183804 -0.16795441 ..., -0.27167967  0.0005     -0.0415    ]"
"[ 0.13265529  0.07987573 -0.01984143 ...,  0.3700149  -0.0015     -0.0435    ]","[-0.15722793  0.22206081 -0.05737623 ..., -0.44717694  0.003      -0.043     ]","[-0.07651785  0.19396959 -0.07699283 ...,  0.39287688  0.0005     -0.0485    ]","[-0.07049666  0.21075691  0.14049168 ...,  0.39856083 -0.002      -0.038     ]","[ 0.15842466 -0.19083804 -0.16895441 ..., -0.27267967 -0.0005     -0.0425    ]"
"[ 0.13015529  0.08037573 -0.01934143 ...,  0.3725149   0.001      -0.046     ]","[-0.15722793  0.22206081 -0.05737623 ..., -0.44717694  0.003      -0.043     ]","[-0.07601785  0.19146959 -0.07749283 ...,  0.39537688  0.003      -0.05      ]","[-0.07049666  0.21075691  0.14049168 ...,  0.39856083 -0.001      -0.039     ]","[ 0.15992466 -0.19233804 -0.16745441 ..., -0.27317967 -0.003      -0.044     ]"
"[ 0.12765529  0.08187573 -0.01784142 ...,  0.3750149   0.0035     -0.0485    ]","[-0.15622793  0.22306081 -0.05837623 ..., -0.44917694  0.005      -0.045     ]","[-0.07701785  0.19246959 -0.07649283 ...,  0.39637688  0.004      -0.051     ]","[-0.06999666  0.20925691  0.13999168 ...,  0.40006083 -0.0025     -0.0415    ]","[ 0.15992466 -0.19233804 -0.16745441 ..., -0.27517967 -0.004      -0.046     ]"
"[ 0.12715529  0.08237573 -0.01734142 ...,  0.3755149   0.004      -0.049     ]","[-0.15672793  0.22256081 -0.05787623 ..., -0.44767694  0.0035     -0.0445    ]","[-0.07651785  0.19296959 -0.07599283 ...,  0.39887688  0.0035     -0.0535    ]","[-0.07049666  0.20875691  0.14049168 ...,  0.40156083 -0.003      -0.044     ]","[ 0.16042466 -0.19283804 -0.16695441 ..., -0.27667967 -0.0035     -0.0475    ]"
"[ 0.13015529  0.07937573 -0.01534142 ...,  0.3785149   0.002      -0.052     ]","[-0.15772793  0.22156081 -0.05687623 ..., -0.44867694  0.0045     -0.0455    ]","[-0.07851785  0.19396959 -0.07399283 ...,  0.39987688  0.0015     -0.0555    ]","[-0.06999666  0.20925691  0.13999168 ...,  0.40106083 -0.0025     -0.0445    ]","[ 0.16092466 -0.19333804 -0.16645441 ..., -0.27917967 -0.001      -0.05      ]"
"[ 0.13015529  0.07937573 -0.01534143 ...,  0.3805149   0.001      -0.054     ]","[-0.15722793  0.22206081 -0.05737623 ..., -0.44717694  0.006      -0.048     ]","[ -7.70178516e-02   1.92469586e-01  -7.54928253e-02 ...,   4.01376878e-01
   9.57021597e-11  -5.59999998e-02]","[-0.06899666  0.21025691  0.13899168 ...,  0.40206083 -0.0005     -0.0465    ]","[ 0.16142466 -0.19383804 -0.16595441 ..., -0.28067967 -0.0015     -0.0515    ]"
"[ 0.12865529  0.08087573 -0.01684143 ...,  0.3820149   0.0015     -0.0525    ]","[-0.15822793  0.22106081 -0.05637623 ..., -0.44817694  0.007      -0.05      ]","[-0.07551785  0.18996959 -0.07699283 ...,  0.40287688 -0.0025     -0.0585    ]","[-0.06799666  0.21025691  0.13899168 ...,  0.40106083 -0.0005     -0.0475    ]","[ 0.16042466 -0.19283804 -0.16695441 ..., -0.27867967 -0.0005     -0.0525    ]"
"[ 0.12765529  0.08087573 -0.01684143 ...,  0.3840149   0.0015     -0.0535    ]","[-0.15672793  0.22256081 -0.05787623 ..., -0.44967694  0.0085     -0.0515    ]","[-0.07401785  0.18846959 -0.07849283 ...,  0.40437688 -0.004      -0.059     ]","[-0.06749666  0.21075691  0.13849168 ...,  0.40256083 -0.002      -0.05      ]","[ 0.16092466 -0.19333804 -0.16645441 ..., -0.27817967 -0.001      -0.053     ]"
"[ 0.12915529  0.07937573 -0.01534143 ...,  0.3825149   0.002      -0.055     ]","[-0.15622793  0.22406081 -0.05937623 ..., -0.45217694  0.009      -0.054     ]","[-0.07601785  0.19046959 -0.07649283 ...,  0.40637688 -0.006      -0.06      ]","[-0.06849666  0.20975691  0.13949168 ...,  0.40156083 -0.003      -0.049     ]","[ 0.16142466 -0.19383804 -0.16595441 ..., -0.27767967 -0.0015     -0.0545    ]"
"[ 0.12865529  0.07987573 -0.01584143 ...,  0.3830149   0.0025     -0.0555    ]","[-0.15672793  0.22356081 -0.05887623 ..., -0.45367694  0.0095     -0.0555    ]","[-0.07701785  0.19146959 -0.07549283 ...,  0.40537688 -0.005      -0.061     ]","[-0.06899666  0.20925691  0.13999168 ...,  0.40106083 -0.0025     -0.0495    ]","[ 0.16092466 -0.19333804 -0.16645441 ..., -0.27917967 -0.003      -0.056     ]"
"[ 0.12665529  0.08287573 -0.01884143 ...,  0.3860149   0.0055     -0.0575    ]","[-0.15772793  0.22256081 -0.05787623 ..., -0.45567694  0.0075     -0.0535    ]","[-0.07751785  0.19196959 -0.07499283 ...,  0.40587688 -0.0055     -0.0615    ]","[-0.06699666  0.21125691  0.13799168 ...,  0.40306083  0.0005     -0.0465    ]","[ 0.16042466 -0.19283804 -0.16795441 ..., -0.28067967 -0.0035     -0.0575    ]"
"[ 0.12765529  0.08287573 -0.01984142 ...,  0.3880149   0.0065     -0.0585    ]","[-0.15922793  0.22106081 -0.05637623 ..., -0.45717694  0.005      -0.055     ]","[-0.07801785  0.19246959 -0.07449283 ...,  0.40437688 -0.006      -0.061     ]","[ -6.74966572e-02   2.10756912e-01   1.38491683e-01 ...,   4.03560831e-01
   1.03436180e-10  -4.70000000e-02]","[ 0.16092466 -0.19333804 -0.16745441 ..., -0.28017967 -0.002      -0.059     ]"
"[ 0.1261553   0.08437573 -0.02134142 ...,  0.3865149   0.005      -0.06      ]","[-0.16022793  0.22006081 -0.05537623 ..., -0.45617694  0.005      -0.056     ]","[-0.07851785  0.19296958 -0.07299283 ...,  0.40687688 -0.0045     -0.0635    ]","[-0.06949666  0.20875691  0.14049168 ...,  0.40456083 -0.001      -0.049     ]","[ 0.16192466 -0.19433804 -0.16645441 ..., -0.27917967 -0.003      -0.058     ]"
"[ 0.1266553   0.08387573 -0.02084142 ...,  0.3870149   0.0055     -0.0605    ]","[-0.15772793  0.22256081 -0.05787623 ..., -0.45467694  0.0035     -0.0585    ]","[-0.07901785  0.19346958 -0.07249283 ...,  0.40837688 -0.005      -0.065     ]","[-0.07049666  0.20775691  0.14149168 ...,  0.40356083 -0.002      -0.05      ]","[ 0.16242466 -0.19483804 -0.16595441 ..., -0.27967967 -0.0035     -0.0585    ]"
"[ 0.1286553   0.08187573 -0.01884142 ...,  0.3850149   0.0025     -0.0635    ]","[-0.15672793  0.22356081 -0.05887623 ..., -0.45567694  0.0045     -0.0595    ]","[-0.07951785  0.19396958 -0.07199283 ...,  0.40987688 -0.0055     -0.0655    ]","[-0.06999666  0.20825691  0.14099168 ...,  0.40106083 -0.0035     -0.0525    ]","[ 0.16192466 -0.19433804 -0.16645441 ..., -0.27917967 -0.005      -0.06      ]"
"[ 0.1296553   0.08087573 -0.01784142 ...,  0.3840149   0.0035     -0.0645    ]","[-0.15522793  0.22506081 -0.06037623 ..., -0.45817694  0.006      -0.062     ]","[-0.07801785  0.19246958 -0.07349283 ...,  0.40837688 -0.004      -0.067     ]","[-0.06949666  0.20875691  0.14049168 ...,  0.40156083 -0.003      -0.053     ]","[ 0.16042466 -0.19283804 -0.16795441 ..., -0.27867967 -0.0065     -0.0595    ]"
"[ 0.1291553   0.08037573 -0.01734142 ...,  0.3835149   0.003      -0.066     ]","[-0.15472793  0.22556081 -0.05987623 ..., -0.45967694  0.0065     -0.0635    ]","[-0.07851785  0.19296958 -0.07299283 ...,  0.40887688 -0.0045     -0.0675    ]","[-0.06999666  0.20825691  0.14099168 ...,  0.40306083 -0.0045     -0.0545    ]","[ 0.16242466 -0.19483804 -0.16595441 ..., -0.28067967 -0.0045     -0.0575    ]"
"[ 0.12865529  0.08187573 -0.01884142 ...,  0.3840149   0.0025     -0.0655    ]","[-0.15322793  0.22706081 -0.06137623 ..., -0.45917694  0.007      -0.065     ]","[-0.08001785  0.19446958 -0.07149283 ...,  0.40837688 -0.004      -0.069     ]","[-0.07049666  0.20775691  0.14149168 ...,  0.40356083 -0.005      -0.056     ]","[ 0.16492466 -0.19733804 -0.16345441 ..., -0.28117967 -0.002      -0.059     ]"
"[ 0.13015529  0.08037573 -0.01834142 ...,  0.3825149   0.001      -0.064     ]","[-0.15472793  0.22556081 -0.05987623 ..., -0.45767694  0.0055     -0.0665    ]","[-0.07851785  0.19296959 -0.07299283 ...,  0.40987688 -0.0035     -0.0675    ]","[-0.06999666  0.20825691  0.14099168 ...,  0.40506083 -0.0045     -0.0575    ]","[ 0.16592466 -0.19833804 -0.16245441 ..., -0.28217967 -0.001      -0.059     ]"
"[ 0.13065529  0.07987573 -0.01784142 ...,  0.3830149   0.0005     -0.0645    ]","[-0.15722793  0.22306081 -0.05737623 ..., -0.45817694  0.005      -0.068     ]","[-0.08001785  0.19446959 -0.07149283 ...,  0.41137688 -0.002      -0.066     ]","[-0.07049666  0.20775691  0.14149168 ...,  0.40556083 -0.005      -0.059     ]","[ 0.16342466 -0.19583804 -0.16495441 ..., -0.28267967 -0.0035     -0.0575    ]"
"[ 0.13115528  0.07937573 -0.01734142 ...,  0.3825149   0.001      -0.063     ]","[-0.15872793  0.22156081 -0.05587623 ..., -0.45967694  0.0045     -0.0675    ]","[-0.08151785  0.19596959 -0.06999283 ...,  0.40987688 -0.0035     -0.0665    ]","[-0.07099666  0.20725691  0.14199168 ...,  0.40606083 -0.0065     -0.0615    ]","[ 0.16092466 -0.19333804 -0.16745441 ..., -0.28317967 -0.006      -0.056     ]"
"[ 0.13165528  0.07887573 -0.01684142 ...,  0.3840149   0.0005     -0.0645    ]","[-0.15672793  0.22356081 -0.05787623 ..., -0.45967694  0.0065     -0.0695    ]","[-0.08101785  0.19546959 -0.07049283 ...,  0.40937688 -0.003      -0.066     ]","[-0.07049666  0.20775691  0.14149168 ...,  0.40556083 -0.006      -0.062     ]","[ 0.16042466 -0.19283804 -0.16795441 ..., -0.28367967 -0.0065     -0.0555    ]"
"[  1.32155279e-01   7.83757292e-02  -1.63414208e-02 ...,   3.83514905e-01
   2.63475205e-09  -6.49999997e-02]","[-0.15422793  0.22606081 -0.06037623 ..., -0.45917694  0.008      -0.072     ]","[-0.08251785  0.19696959 -0.06899283 ...,  0.40787688 -0.0015     -0.0675    ]","[-0.07099666  0.20725691  0.14199168 ...,  0.40406083 -0.0065     -0.0635    ]","[ 0.16342466 -0.19583804 -0.16495441 ..., -0.28467967 -0.0035     -0.0535    ]"
"[ 0.13065528  0.07987573 -0.01784142 ...,  0.3850149   0.0015     -0.0665    ]","[-0.15522793  0.22506081 -0.05937623 ..., -0.46017694  0.007      -0.071     ]","[-0.08001785  0.19446959 -0.07149283 ...,  0.40837687 -0.00100001 -0.068     ]","[-0.06849666  0.20975691  0.13949168 ...,  0.40156083 -0.004      -0.065     ]","[ 0.16592466 -0.19833804 -0.16245441 ..., -0.28517967 -0.002      -0.053     ]"
"[ 0.12965528  0.08087573 -0.01884142 ...,  0.3840149   0.0025     -0.0655    ]","[-0.15772793  0.22256081 -0.05687623 ..., -0.46067694  0.0065     -0.0705    ]","[-0.08001785  0.19446959 -0.07149283 ...,  0.40837687 -0.00100001 -0.068     ]","[-0.06799666  0.21025691  0.13899168 ...,  0.40206083 -0.0035     -0.0655    ]","[ 0.16492466 -0.19733804 -0.16345441 ..., -0.28617967 -0.003      -0.054     ]"
"[ 0.12915529  0.08037573 -0.01834142 ...,  0.3835149   0.003      -0.066     ]","[-0.15772793  0.22156081 -0.05587623 ..., -0.46067694  0.0045     -0.0715    ]","[-0.08151785  0.19596959 -0.06999283 ...,  0.40587687 -0.00050001 -0.0665    ]","[-0.06999666  0.20825691  0.14099168 ...,  0.40406083 -0.0055     -0.0635    ]","[ 0.16442466 -0.19683804 -0.16395441 ..., -0.28667967 -0.0025     -0.0545    ]"
"[  1.30155279e-01   7.73757292e-02  -1.53414207e-02 ...,   3.86514905e-01
   2.62012164e-09  -6.89999999e-02]","[-0.15622793  0.22306081 -0.05737623 ..., -0.45917694  0.006      -0.07      ]","[-0.08251785  0.19696959 -0.06899283 ...,  0.40487689 -0.00150001 -0.0675    ]","[-0.06899666  0.20925691  0.13999168 ...,  0.40306083 -0.0045     -0.0625    ]","[ 0.16142466 -0.19383804 -0.16695441 ..., -0.28967967 -0.0015     -0.0575    ]"
"[ 0.12965528  0.07787573 -0.01584142 ...,  0.3870149   0.0005     -0.0695    ]","[-0.15522793  0.22406081 -0.05837623 ..., -0.45817694  0.007      -0.069     ]","[-0.08301785  0.19546959 -0.06849283 ...,  0.40337689 -0.00200001 -0.069     ]","[-0.06949666  0.20875691  0.14049168 ...,  0.40356083 -0.004      -0.062     ]","[ 0.16142466 -0.19383804 -0.16695441 ..., -0.29067967 -0.0015     -0.0575    ]"
"[ 0.13015528  0.07737573 -0.01534142 ...,  0.38651491  0.001      -0.071     ]","[-0.15372793  0.22556081 -0.05987623 ..., -0.45967694  0.0055     -0.0705    ]","[-0.08351785  0.19596959 -0.06799283 ...,  0.40287689 -0.00350001 -0.0705    ]","[-0.07099666  0.20725691  0.14199168 ...,  0.40306083 -0.0045     -0.0635    ]","[  1.63924661e-01  -1.96338038e-01  -1.64454407e-01 ...,  -2.89179669e-01
   8.67364290e-10  -5.80000009e-02]"
"[ 0.12865528  0.07887573 -0.01684142 ...,  0.38801491 -0.0005     -0.0735    ]","[-0.15172793  0.22756081 -0.06187623 ..., -0.45767694  0.0075     -0.0725    ]","[-0.08151785  0.19396959 -0.06999283 ...,  0.40187689 -0.00150001 -0.0725    ]","[-0.07249666  0.20575691  0.14349168 ...,  0.40456083 -0.003      -0.062     ]","[ 0.16642466 -0.19883804 -0.16195441 ..., -0.29067967 -0.0015     -0.0605    ]"
"[ 0.12715528  0.07937573 -0.01734142 ...,  0.38951491 -0.002      -0.076     ]","[-0.15072793  0.22856081 -0.06287623 ..., -0.45667694  0.0085     -0.0735    ]","[-0.07901785  0.19146959 -0.07249283 ...,  0.40037689  0.00099999 -0.074     ]","[-0.07349666  0.20475691  0.14449168 ...,  0.40656083 -0.001      -0.063     ]","[ 0.16542466 -0.19783804 -0.16295441 ..., -0.28967967 -0.0025     -0.0595    ]"
"[ 0.12665528  0.07987573 -0.01784142 ...,  0.39001491 -0.0025     -0.0765    ]","[-0.14922793  0.23006081 -0.06437623 ..., -0.45717694  0.011      -0.076     ]","[-0.07801785  0.19046959 -0.07349283 ...,  0.40137689  0.00199999 -0.075     ]","[-0.07349666  0.20475691  0.14449168 ...,  0.40756083 -0.001      -0.064     ]","[ 0.16492466 -0.19733804 -0.16345441 ..., -0.28917967 -0.003      -0.059     ]"
