rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2
"[ 205.65536828  -34.3654583   478.58343357  347.7119513   391.59307492
  428.8828782   478.58343357  347.7119513   321.73298143  205.65536828
  205.65536828  -34.3654583   321.73298143  205.65536828  395.34651338
 -102.07603595  217.10831498  478.58343357  347.7119513 ]","[   2.60704162  242.53225165  256.92318961  386.33175195  611.29951435
  -13.31404705  242.53225165  616.04413417  611.29951435  -13.31404705
  563.68915461  480.29768052  440.28878429 -416.90782456  324.84536599
  388.95892261  972.27716361  643.01433596  683.95515506]","[-361.76153986  -60.10856582 -260.88779121 -205.55334006 -146.73041219
  183.52157933  436.46308797  132.15769452  168.60069027  279.9438119
  997.48158306  309.06241988  815.63525334  -21.32786454  997.48158306
  279.9438119  -147.13019747  385.90991179  -56.21843832]"
"[ 344.68251163  381.42861469  320.50701053  175.17977789  354.95723786
  115.58743269  354.95723786  115.58743269  320.50701053  175.17977789
  384.59100181  374.17391753  320.50701053  175.17977789  507.47939113
  389.84547608  466.87519268  466.87519268  354.95723786]","[ 135.76554921  583.64954706  237.40311071  145.8350291   115.96090521
  237.40311071 -297.69952937  419.64589186 -297.69952937  419.64589186
  415.47810552  179.97357093  434.00900044  450.98160606 -359.66377518
  -10.52830105  -88.07397823  568.16525813  641.30221625]","[ -64.52224532 -232.89123583  109.19225733  360.60900035  426.62768074
   84.72608926  505.60406819  433.50507635  -96.72907589  156.06875888
  363.00089273  742.74405662  433.50507635   79.91387476 -121.99722185
 -232.89123583 -281.50423737 -192.30212101   22.18600782]"
"[ 457.13881147  249.31509695  227.20442342  238.85984982  325.03684368
  173.08297732  473.4896172   241.22453969  249.31509695  227.20442342
  473.4896172   241.22453969  473.4896172   241.22453969  347.19373459
   75.46295009  227.20442342  305.0839675   314.58684689]","[ -98.91912239 -261.37800932  529.21096537  389.02016311 -390.58708283
  532.76941933  338.72349958  264.20133695  572.90631816  -98.91912239
  248.0594233   -26.80688223  370.62078927  250.48892189 -284.95222057
  714.17095023  411.39375409 -103.63595219 -284.95222057]","[ 240.35921772  237.61378405  555.72415098  278.32656564 -220.01216431
  250.69107371  425.56580177  215.50907903 -106.55518902  540.0391354
  538.19757824  350.8837741   198.4081166   240.35921772  237.61378405
    6.84893462 -222.35963616  -36.81988018 -186.3352549 ]"
"[ 273.00383203  254.8900076   293.66869196  406.99204791  427.6837192
  237.53173176  297.97033195  436.18081608  245.43487261  273.00383203
   31.03053686  314.13709965  254.8900076   427.6837192   237.53173176
  273.00383203  254.8900076   427.6837192   237.53173176]","[  166.51139192  -167.16214591  -167.16214591   630.51129338   561.5509246
   275.43121108   539.3701176    281.40444237   617.27183512   206.64099054
   -22.08495435  -139.8419244     33.53927748  -107.12492817   406.85369435
  1161.5532011      8.36488056   406.85369435   166.51139192]","[ 847.32303369  228.2308804   334.44826236   70.15381091 -184.51815786
  -74.32400882  121.08370507  373.21564617  642.55912002   46.26306131
  391.39830628  334.44826236   70.15381091  202.0698015   -99.84472292
   69.66686009  478.95731833 -148.66180899 -118.92780898]"
"[ 346.35055554  299.2906072   228.91519211  121.56497433  280.16945391
  255.2534905   129.43215723  376.98086004  431.44215762  300.16238901
  346.35055554  299.2906072   129.43215723   64.00588471  346.35055554
  129.43215723  376.98086004  346.35055554  299.2906072 ]","[ 566.74368544 -417.71192658  485.04318865  275.55508703  -10.42986345
 -241.99677056  319.27487034 -150.80396984  316.49793648  820.10320405
  509.32696395 -102.21622664 -150.80396984  462.42182611   28.20225498
   44.4656497   546.33604697  462.42182611   28.20225498]","[ 324.42576804  603.31762079  375.53850277 -162.43409532  -15.67166112
  433.9492603   -70.7547911   -95.60349151  224.64420944  323.66650657
 -121.2711205   635.67163221  169.17298818   34.37241387  178.05297213
  222.23540181  -80.32584054  178.05297213 -214.67087023]"
"[ 298.21014021  459.17405838  337.48845033  347.81215733  337.48845033
  347.81215733  459.17405838  344.63494368  299.49357959  337.48845033
  205.72771827  552.713828    459.17405838  344.63494368  374.73001763
  338.93028557  489.88318577  337.48845033  347.81215733]","[ 494.06349727  339.26216877  632.46499319 -251.50803667  255.24563205
  776.56610565  -69.4711996  -291.7643708   280.64133388 -300.73842075
  -16.90859191  -89.29055483  363.77719633  219.15260593  219.15260593
   85.40746668  776.56610565  363.77719633  787.53157079]","[ 474.28249327  873.7513836   829.81111427  337.89912413   15.34220784
  433.26226311  225.61274106  178.6488233    18.39495112  114.81685479
 -278.9332877   386.54206852  873.7513836   465.28116582   59.34169305
  209.03159663  -99.29072379   57.18281057  797.78195085]"
"[  19.99906235  336.68742616  205.14256668  227.96907298  353.81194545
   55.34326638  174.01066481  353.81194545  271.33546459  321.17826841
  336.68742616  353.81194545   55.34326638  465.32125374  306.2523734
  353.81194545   55.34326638  336.68742616  -26.64743456]","[ 128.20807954    6.83643728  504.93227688  239.96225453  172.37195325
  -59.76377038  157.67628118  427.33882689  369.32378625  609.7611848
  239.96225453  842.53260563  842.53260563  -43.29352107  -43.29352107
  564.63019109  397.47995221  504.78869727  134.25349319]","[ 128.66360906  392.29291785   39.76124236  263.78466397  392.29291785
 -106.4697144   573.01054599   49.23796547 -179.22214919  478.98072708
  375.83588056  452.77326287 -195.40408866  -64.06589675  477.5232412
  263.55438809 -180.91016242 -145.03483014  430.98248857]"
"[ 133.68480831  248.28938534  176.26611371  182.49442513  264.96576029
  417.58928179  133.68480831  248.28938534  182.49442513  382.68859149
  182.49442513  382.68859149  248.28938534   73.66899068  115.59703791
  182.49442513  382.68859149  110.71524022  412.9458345 ]","[ 562.40401712  342.22927088 -248.76559002  332.90929612  858.43789663
 -157.4936015   480.66719786  485.20994528  822.22739705  593.90428985
   33.98712128  577.19509279  300.86265698  674.872185    -61.17496761
  -61.17496761  132.93122439 -157.4936015   674.872185  ]","[-279.7660741   339.00682367  595.97583775  473.70825393  372.05156784
  145.48865083 -239.47364938  321.47039336  306.47348714  820.97865735
  436.455057    128.82286972 -345.40606061  585.75009823  732.94242645
  670.71174523  671.54324258 -214.14900848  436.455057  ]"
"[ -49.71450693   84.07813169  -49.71450693   84.07813169  299.86220587
  333.22041102  263.59085616  416.11565024  333.88670404  253.85638236
  253.85638236  253.85638236   66.15434252  134.79448384  322.13833883
  -49.71450693   84.07813169  253.85638236   66.15434252]","[ 581.62059607  606.39649855  569.65835475  618.97310674   84.10096986
  569.03855633  -10.91485663  -14.13345394  -14.13345394 -168.77714282
  606.39649855  -10.91485663  143.88022173 -146.83196383 -351.64931003
  587.6115511  -477.27538094  106.29764265 -139.44585739]","[ 643.62792426 -317.53222414  502.26950231 -263.50249561  346.54150646
  852.18128314 -135.38440461 -192.07497998  509.11222968  -25.79267216
  -80.97915356  517.73893874 -135.38440461  -94.11963799  479.0970684
 -191.49929701  651.87489174  479.0970684   454.45509984]"
"[ 420.6977054   276.92501326 -136.90478842  533.66059074  180.50752221
  420.6977054   180.50752221  420.6977054   439.87535908  394.66852141
  374.68349456  374.68349456    9.1768494   420.6977054   276.92501326
  374.16084278  255.72899274  374.68349456    9.1768494 ]","[ 716.50156362  160.18407079 -243.37829758 -106.59489646  238.54565135
   90.3175777   610.52267143  -16.3094664   602.35363256  715.59205088
  512.3654596   332.80306842  286.73795974  317.49735564 -106.59489646
 -117.13446972 -117.13446972  602.35363256  365.75990937]","[  54.23277389  649.08049413  490.78441079  -12.85171862  341.30178052
  194.71937558 -126.42945502  512.71851369  -30.45305869    1.13477402
  518.65015805  148.65555149  -22.60579927  451.15429517  -42.59392043
 -212.40233361  -42.59392043  512.71851369  515.2328646 ]"
"[ 192.37366846  -26.74246839  313.96474711  289.87573111  -26.74246839
  152.64683764  289.87573111  168.77588092  289.87573111  168.77588092
  150.17630567  410.56608765  161.51327743  258.99600254  227.12855337
  138.33637347  313.96474711  -26.74246839  152.64683764]","[ 361.19384632  831.1734449   112.35587558  462.5980461   704.58217271
  416.989552    225.2114544   208.03100997  -45.65154401  303.5062866
  472.54324878 -277.51655703  475.47648846  475.47648846  303.5062866
  713.98078863  291.24332599  428.7407105  -277.51655703]","[-201.67165883   11.25032324  270.79100437  106.35511821  281.26977762
 -162.83226586  284.98280706 -110.2538197   513.28166947 -306.15817938
 -201.67165883   11.25032324   14.58409703  237.88993239 -175.79590975
  101.5901904   237.88993239 -118.49633808  210.7766959 ]"
"[ 164.88855155  471.68253197   45.00718931  401.92833062  391.49631319
  342.5657439   401.92833062  214.54408794  391.49631319  342.5657439
  471.68253197  391.49631319  401.92833062  214.54408794  165.58687091
  299.29525412  353.13369117  126.59301872  528.04634395]","[ 376.24848748  550.63114697  633.46344724  684.10067942  178.91911737
  541.27836415  339.63557579  315.00007355 -263.3722757    55.55289363
  263.39008752   22.59361093  266.46695471  349.93796205  131.57803472
  349.93796205  715.89353414  715.89353414  -51.50139174]","[   2.54405711  625.99333509  526.17318211  671.51228854  308.07663707
  375.77127561  184.92210882 -183.43217446  127.30869326 -394.73050615
  -64.9462459   565.75042893  265.69226742  -21.47599218  516.31528846
  375.77127561  -47.98795254  265.69226742  200.95622903]"
"[ 416.51040802  256.72863324  526.45853778  154.09456223  176.57758684
  253.38783599  340.89177108  246.03054031  246.03054031  257.68882439
  154.09456223  176.57758684  439.72831356  330.68503495  176.57758684
  246.03054031  257.68882439  220.60232802  185.67702208]","[  809.63771569   373.04403677   568.00450654  -267.9986659     63.2361011
  -459.8509498   1086.41423939   179.58077658   325.45534468   957.4214622
   832.85170148   823.90338397   701.31040806   887.62506433   823.90338397
   701.31040806   272.9597601    349.94616819   341.74451373]","[ 349.32630073  133.28254115 -162.37956599  568.19120708  291.50835308
  507.51857817  568.19120708  347.46116523  -65.91986756  176.59347718
 -258.54065642  251.217672    210.38895092  182.39795861  180.83702824
  746.10413926  129.81895803 -115.62469838  133.28254115]"
"[ 377.29762263  253.98993636    2.58382159  377.29762263  563.33024512
  380.96021598  339.19919078  -63.06887398  371.70638095  211.00635663
  563.33024512  444.03034995    2.58382159    2.58382159  377.29762263
  233.49718949  563.33024512  225.25909533   57.22478728]","[ -13.46085422  547.52757802  658.40567289  385.06459312  500.55009371
  802.31539242  208.47574832  504.99977725  831.08752391  922.02683292
  385.06459312  340.77765402  178.48605263  289.10110509  257.65716079
  438.51727122  340.77765402 -151.28396576  271.07722419]","[ 589.15412088  177.25640511  589.15412088  569.72189153  393.54495995
  482.15179534  697.4086386  -294.91963284   15.5848648   291.36537004
  -42.5824502   182.00457931 -358.38830894  538.37620703   41.81904667
  412.79188844 -134.8034546  -183.63380589 -294.91963284]"
"[ 377.84496984  189.35109809  236.08262317  340.23931363  329.95944638
  160.16720792  340.23931363  339.87707799  246.01578197  289.9397991
  249.24322962  377.84496984  340.23931363  339.87707799  249.24322962
  443.20697143  453.2832304   339.87707799  421.69428893]","[ 331.28647782   95.2120018   108.80895238  296.41266075  669.32425976
  816.94332967  546.05575428  621.99805722  610.42142375  516.8954802
  296.41266075  669.32425976   90.94818978  551.54725722  796.17051749
  -37.59663759  611.20960932  641.42563861  353.99321128]","[ 681.04368771  455.06170324  352.77187917  265.83332005  323.47423706
   23.53445086  549.42501315  315.7291571  -231.28815314  104.02566452
   29.50979428 -202.14937953  104.02566452  116.48715645 -158.02242949
  379.35979446  418.20836932   76.56227722  455.06170324]"
"[ 232.01940779  243.451216    -38.70519415   79.96433374  213.33335034
  179.08533641  472.47604007  355.85087736  315.69234783  213.33335034
  179.08533641  412.72362889  240.13795092  357.24431149  457.939049
  213.33335034  179.08533641  120.0695817   240.13795092]","[ 422.41590862  -94.51100872  596.89455726  144.32194222  257.53099397
  464.12225156  722.8061894   531.39326899  272.50830131  433.31467125
  433.31467125  422.41590862  634.01804349 -151.35255006   56.39177647
   67.06142789   45.91190658   99.8895628   586.94707674]","[-282.84250131  283.89821918 -154.87060376   -2.41207982  612.64964617
  426.90088349  350.84931612  118.78410462  229.09201859   71.54105659
  207.01491967   84.81975385  211.20744907  339.99358627   84.81975385
   97.92908245 -282.84250131  273.47629477  388.74934524]"
"[ 217.29995429  280.21999789  322.74491404  293.16767835  244.47723741
   22.50517357  430.62250257  217.29995429  280.21999789  244.47723741
  385.84950782  247.89587872  244.47723741  385.84950782  246.98591844
  391.55446736  129.09584244  299.96523844  371.93702032]","[  3.37097508e+02   2.25682586e+02   6.29436037e+02   2.42570393e+02
   3.76833248e-02   5.46539233e+02   2.72130679e+02   7.82868386e+02
   5.82911706e+02   6.41955305e+02   5.51244374e+02   9.72448310e+02
   4.77146862e+02   2.29336562e+02   2.42570393e+02   3.37097508e+02
  -9.83122718e+01   5.53069847e+02   7.38977970e+02]","[ 299.86593019   57.67393353  349.88355614  403.67388948 -400.58632408
  354.56268895 -225.40828343    6.51673428  474.33924722  533.52174985
  464.46352941  474.33924722  534.56011863  574.86796697  462.00423559
  268.97892701   57.67393353  393.46615877 -193.24534396]"
"[ 226.3999736     9.53153266  228.35212871   64.4119121     9.53153266
  372.88549471  405.09025173  155.02113454  226.3999736   203.06411901
  335.13662081  372.88549471  469.78798112  238.54230925  169.57410341
  203.06411901  335.13662081  378.44767913  148.7703218 ]","[ 727.14077606  456.82261554  668.08060053  673.21850874  591.99262652
  333.73089304  713.89415042  687.07414685  200.4903853   668.08060053
  436.85461574  770.6076018   183.31306017  220.98144988  359.75202509
  200.4903853   365.97563045  360.65597624  614.76289272]","[ 180.61298354  244.30143171  515.79771188  343.868178   -156.07270543
  470.41099201 -183.07502306 -348.15739443  416.76837271  468.14010206
  -92.55941864    2.42704102  364.84169128  535.05523658  -16.90515869
  287.96070263  196.39748703  343.868178    545.8643925 ]"
"[ 368.16940672  261.25290586  261.25290586  395.08285279  304.66140316
  235.75271274  351.50878366  389.95018185  448.49055372  360.15547069
  607.92471183  235.75271274  351.50878366  427.32670336  368.16940672
  271.32034321  294.97268956  304.66140316  562.60096216]","[ 485.27609886  586.92353919  713.39345148  851.90702687  317.12749129
  643.91848198  311.71100208  608.91560254  621.63643814  563.83226766
  445.27758648  800.49770688  971.3613998   621.63643814  611.42836943
  581.65042224  786.4038867   231.35349453  391.966087  ]","[ 224.62519304 -110.04085693  268.59500164  -93.52908326  508.41771186
  478.98159381 -152.96796365  212.25581581  -10.41140357 -224.52644238
  297.24349004 -115.86406463  241.49714677  508.41771186 -318.7458913
 -127.39502508 -179.24907317 -154.3507915   191.26297677]"
"[ 368.47562579  347.22789173  315.84686833  174.04764949  368.47562579
  347.22789173  400.52595114   37.50828912  -90.55495296  300.59615987
  443.58173831  260.48315693  368.47562579  368.03994473  525.30342432
  300.59615987  443.58173831  116.29113126  288.61687628]","[ 542.71508078  838.41908174  525.11642721  616.65736826  359.14104169
  511.57992715  488.17673021  596.61932599  685.18158539  359.14104169
  744.42650659  581.2573126   588.7051856    -6.90570131  203.66891834
  542.71508078  650.95233155  349.79633429  365.43922214]","[-247.84899613  224.05792409 -162.58533952  184.43621585  281.04420734
 -247.84899613 -118.65694278  -20.00872138  173.63643701  482.4826586
  225.95311368 -220.35263261  312.69417503   70.4585435  -192.52630062
  290.25589467  613.34995623  208.26950166 -192.52630062]"
"[ 267.19804942  270.78502165 -192.19216947  267.19804942 -192.19216947
  267.19804942  192.79052028  361.30535629  294.32619656  225.38780223
  192.79052028  361.30535629  286.39933312  347.90393439  397.74610274
  338.53627818  474.77266825  327.14289892  316.6963692 ]","[ 673.84118488  531.86041181  846.13998119  119.84791033  873.46782804
  269.11305005  470.73111609  623.36833765  397.40265253  157.83553471
  705.04949335  560.91540657  502.76145594  523.31400745  705.57892879
  406.40878249  873.46782804  459.04028496  635.31278063]","[ 601.68008996  320.71218087  156.74056991   83.74682239  264.79297729
   14.12902054  590.8167994    85.69300503   60.88969987  601.68008996
  211.31113267 -183.41353787  400.6002719   457.38857575 -134.38434744
  174.38202623 -128.9210847    60.88969987   -1.04420402]"
"[ 258.76272004  385.07884018  391.99390165  199.8297239   423.16674954
  248.30561969  189.79216364  239.05909296  347.38740619  478.69959079
  189.79216364  320.73975044  290.51528588  239.05909296  318.51713675
  347.38740619  478.69959079  478.69959079  182.55967881]","[ 492.64712717  863.15705199  558.52705139  395.95117118  447.9012232
  575.02661492  664.86479509  256.82433569  400.19070345  458.41175868
  799.78953345  595.93745408  132.29791529  516.58043506  759.14431571
  655.95540468  691.93291532  558.52705139]","[  99.64028784  188.15781138  352.33465965  243.28593296  356.9578472
 -208.36235171  243.28593296  208.51498883 -195.3760318   232.64566068
  429.15473402  547.56163056  428.81532084  554.43853631  189.91164688
  428.81532084  247.01999123   63.24944053 -222.40555129]"
"[  88.1929802   368.48919468  368.48919468  321.9281358   173.77417727
  426.41549372  208.48586967  148.20600078  208.48586967  148.20600078
  321.9281358   311.40352936  292.0540265   401.40680228  163.72677018
  259.67984434  221.28066646  148.20600078   88.1929802 ]","[ 490.86529916  547.48978051  627.22064584  542.04766327  516.90253442
  915.83571806  825.70208314  738.53109915  730.20518469  311.07676445
  520.13937351  468.51816528  490.86529916  547.48978051  587.64871217
  788.52206047  579.82417744  427.28857352  496.62563706]","[  60.2199839   476.0432495   560.22045472  249.72512864  627.46538791
  449.3948066   -69.72947552 -231.61848058  319.12084126  588.69080764
  349.12468065 -145.83284844 -268.99313939  450.22467842  478.20442458
  276.35338707  216.83389589 -126.5225915   627.46538791]"
"[ 413.86866151  205.59008349  306.38593323  346.64963725  354.77825222
  362.53951795  362.53951795  492.12399942  492.12399942  233.64515723
  346.64963725  354.77825222  329.73614054  234.27032474  341.81768378
  337.73741743  110.38137166  306.38593323  346.64963725]","[ 633.01428519  613.47597946  851.23858013  654.75762726  662.45661679
  272.98057183  815.42443064  167.09456099  451.38451057  513.86186214
  531.90512159  537.25690774  284.43347237  407.88199051  480.01231516
  823.11868592  228.8959006   451.38451057  532.62822289]","[ 217.9886707  -153.02928339  332.35303536  102.31188696  249.07157224
   43.62927102   71.83561982 -132.10780561  654.00353237  217.9886707
  251.94366239 -158.41044603  -98.16321216  -70.292089    723.80625265
  100.24692927  328.32628922  -98.16321216  449.60441967]"
"[ 266.3677014   150.74434882   41.47599971  405.59071779  405.59071779
  115.05077062  324.1237567    41.47599971  115.05077062  179.53982287
  179.53982287  388.46412751  294.67083632  360.86415372  115.47073084
  377.879494    221.52959039  324.1237567    41.47599971]","[ 614.87809943  636.55798972  441.71762304  614.87809943  675.83729603
  541.75449274  487.03678106  605.51311512  703.18345057  636.55798972
  676.76995125  531.30860604  604.41651518  397.32454019  330.0713302
  648.17260825  326.80101806  610.741704    864.10624524]","[  70.99031044  145.9486843   186.430214     39.82037329  424.69581549
  411.15957778  414.6866731   335.79334746  200.53466135 -237.36527579
  213.9788801   392.95740835  151.88351638   73.10799808  516.81916161
  495.99798433  495.99798433   73.10799808   70.99031044]"
"[ 275.25496529  529.16533678  359.53081074   80.88776247  297.45983241
  331.28055366  173.45210375  201.40946965  201.40946965  359.53081074
  239.45583897  173.45210375   80.88776247  162.83206627  488.12514301
  239.45583897  173.45210375  507.01907437   38.58666636]","[ 605.23125099  579.9780004   605.14825015  578.36819314  578.36819314
  552.71661381  611.10529539  605.14825015  613.50009745  449.58219925
  753.34892173  566.87975021  519.62190074  395.0994211   408.32878987
  553.90258511  346.67316476  640.65837042  573.94726593]","[ 183.40158084  336.79134112  124.37071371 -176.86116077  512.24062388
  542.98877293  378.76498442 -376.43230404  378.76498442 -376.43230404
  497.4728181   271.74370836  156.58229406  397.63308842  271.74370836
  183.40158084  435.67806554  722.63969088  384.46251517]"
"[ 320.09219337  491.53943392  170.59738706  363.13273449  320.09219337
  491.53943392  123.23572683   61.24821148  123.23572683   61.24821148
  483.64134345  274.78414841  452.13335274 -109.20120038   61.24821148
  497.33189411  497.33189411  270.36229032   18.56807048]","[ 592.50213506  301.38888323  723.83978039  236.56022534  252.8598722
  519.65419203  239.05896524  252.8598722   519.65419203  479.83832506
  583.88481114  632.37707899  657.87699366  286.4614568   450.93250533
  386.64525607  532.47539326  642.3693471   301.3984492 ]","[ 417.33386991  103.82830613 -137.09133509  104.628061    220.65919591
   58.4115464   556.89228946 -151.85024029  214.4842225   556.89228946
  -33.12941276  214.4842225   101.4349654   261.72845671  341.87975979
  130.68376343  605.28632618  101.4349654   261.72845671]"
"[ 556.9371094   556.87850127  189.29186767  316.92687538  184.86750183
  556.9371094   556.9371094   556.87850127  588.12067211  337.8502948
  431.16168997  443.9622498   588.12067211  337.8502948   329.95879549
  458.11422261  184.86750183  455.11027836  260.62353401]","[ 376.53515394  428.95810367  401.84603031  227.12161792  730.81878171
  575.78016235  172.52814649  422.29092141  617.50973613  771.41781333
  715.01775168  659.6230462   227.12161792  617.50973613   74.58522021
  376.66403803  364.20339569   73.04015612  734.98264533]","[ 158.04172365  535.41033927  290.98348403  205.38481962   13.24690727
  167.50488647  459.05423481  529.38317517  568.73325329   13.24690727
  167.50488647  -68.09158284  192.59525517 -125.17491121  398.86186187
  259.08900972  258.07054651  274.52747722  258.07054651]"
"[ 170.76572849  423.75666619  366.61136619  377.08680409  325.09911614
  387.08474415  -72.40077684  333.74705266  493.94735376  318.00421694
  493.94735376  318.00421694  342.44241286  471.3041127   -28.56986013
  442.87743906  -28.56986013  423.75666619  493.94735376]","[ 529.46606039  581.46767938  666.04452688  384.2846478   693.57911164
  309.00907179  565.07720212  528.61353807  535.07959909  583.07981704
  593.11832085  668.28918364  533.23236852  304.84840074  528.61353807
  540.67260136  561.87259013  540.39581683]","[ 406.82911738  509.79788222   57.0031128   218.8766608   -32.90873592
  372.05414159  321.48522168   86.78768844  509.79788222   35.07393705
  250.22613597 -103.52078069  115.75815345  463.07516809   45.43094184
  359.00131409   74.70074518  218.8766608   250.22613597]"
"[ 179.97987893  569.29984583  381.13048831  179.97987893   74.13398366
  381.13048831  381.13048831  179.97987893  295.15965626  244.41405913
  447.31030088   74.13398366  569.29984583  195.74937296   60.74430579
   83.02708219  395.83651354  415.89622538  407.12520854]","[ 581.80063236  464.8557123   534.27703571  841.57350973  737.56398032
  587.79637181  485.73403253  472.25624673  422.95632372  607.70660101
  388.17317219  238.21370804  277.75543235  584.09748622  629.42470663
  755.29535175  740.36475081  103.77886118  740.36475081]","[ 420.13402344   -6.03375928  141.14087085  285.05464374  117.56072333
   63.49351403  223.94157387   34.89262696  285.05464374  401.89853524
  391.02756385  117.18984411   31.79231185  105.64356717 -101.18790022
 -171.71544946  382.12724329  382.12724329  391.02756385]"
"[ 204.16333578  241.98479179  232.71647432  461.71939954 -189.64810209
  438.6852282   397.23169915  204.16333578  283.30801186  388.24817489
  293.62052178  299.6503224   299.6503224   241.98479179  232.71647432
  661.64912248  366.71703552 -189.64810209   72.77419161]","[ 410.18483353  772.63628827  406.80810549  434.73062275  769.80424116
  602.89346032  772.63628827  686.82878481  543.67589374  866.68847759
  736.12093813  434.90622448  545.95457899  405.49767678  540.92170953
  570.85249244  418.21617099  540.55963048  424.30891708]","[ 249.94996318    1.39659484  346.49550872  165.41654672  446.57488296
  211.12057518  538.52764595  134.7406379   255.31142147  446.57488296
  157.01285828  134.7406379   250.27277886 -165.44382948  679.03412417
  211.12057518  141.55921341  472.66170834  532.45183632]"
"[ 407.27172009  275.0284054   275.0284054     9.52086294    9.52086294
  492.62005565  425.93001218  334.25388231  498.7223073   366.43826909
  -84.12681192   97.0510151   157.02404309  425.93001218  404.52336384
  407.27172009  275.0284054   384.79753699  480.85418176]","[ 872.30846381  716.71856882  577.74809628  721.18300799  390.86252167
  593.79381971  511.82435339  268.9399964   596.53890171  507.64803504
  721.18300799  537.64361279  317.6614701   427.21502148  465.68392896
   92.99814034  642.14114418  603.57665535   88.04196971]","[ -38.67138442 -344.06930801 -344.06930801  266.44791342  590.47315923
   54.92711821  307.51835885  138.30635603  270.85963725  430.23699556
  271.1097262   496.09476332  -57.07193467  313.96039427   73.22108093
  590.47315923  150.87067985  120.80196778  238.34090853]"
"[ 220.0032178    -7.71226051  475.96796766  221.97180803  220.0032178
   -7.71226051  199.68891011  230.72177585  224.17001299  389.64023235
  220.0032178   157.63625381   76.35375904  223.76982005  224.17001299
  389.64023235  220.0032178    71.50297237  284.18164692]","[ 720.36297176  332.28559294  442.27053282  737.911562    413.61944893
  419.96839785  829.33987926  560.86245228  500.26783345  638.37355739
  696.48618837  720.6774608   455.1956729   616.62987201  434.19608636
  736.19157909  656.96467219  560.86245228  723.30648183]","[ 441.61234268  241.01887548  108.18262594  159.47608347  330.6008625
  324.28225042  124.25398433  435.26511956 -335.12105717  408.75799048
  280.43905099  -34.72599777 -142.78170134  -74.62242575 -275.94536807
  687.52462793   56.31366051  110.79854692  -34.72599777]"
"[ 513.12254776   36.21115355  330.77293542  283.52484549  -59.79780097
  330.77293542  513.12254776   36.21115355  394.00240121  330.77293542
  283.52484549  108.91455759  445.39023344  437.32808124  355.28014879
  -59.79780097  330.77293542  200.91732922  274.89513167]","[ 359.82120619  340.85108421  977.38348163  794.8065066   570.74747403
  667.47052971  815.88780832  644.64981051  395.38375794  549.2054366
  705.69743897  996.02617035  874.6810727   656.18202433  418.36155712
  549.2054366   570.74747403  364.33810509  665.91641327]","[ 598.53278631  126.95013498  528.66685753   29.49486805  562.37049296
  562.37049296  403.52503562  -80.14583858  598.53278631  426.93552408
   58.61198361  163.51002609  733.11198588  149.44787607  184.63481013
  198.39528637  297.50093722  338.05734214  179.69680396]"
"[ 341.09075454  240.14552438  271.91714072  266.46289186  221.80089165
  188.15210908  397.07041324  486.01907565  220.64490705  221.80089165
  271.91714072  468.73379134  387.85045657  387.85045657  368.32262916
  221.80089165  271.91714072  266.46289186  221.80089165]","[ 705.66396506  387.50883259  868.05842652  681.44225518  460.26062103
  644.61707361  644.61707361  890.77495219  426.07284803  320.73924279
  562.19560919  681.23051752  662.94625837  696.14073481  443.64485562
  460.26062103  895.97409663  497.28684344  589.77926513]","[ 333.96262296  226.77310893  351.43412247  583.80489491  240.18619516
 -332.90195658  188.81457859  351.43412247 -577.64434643  455.95064568
  121.62863633  281.25660237  318.73562967  121.62863633  384.77963359
  433.93695412  513.55218058  424.03855708  156.41350535]"
"[ 385.00240105  261.12314456  439.26398782  476.72584898  106.43931548
   63.53807782  246.33542042  397.07093129  288.80190616  246.33542042
  385.00240105  261.12314456  475.68640206   12.24066208   22.84254732
   22.84254732  385.00240105  385.00240105  261.12314456]","[ 309.9616301   619.20049083  621.62386704  537.51759212  696.115423
  743.42653558  479.63810774  530.97176967  479.66486692  656.48561022
  718.23257983  399.46558272  868.40803715  614.30557115  309.9616301
  619.20049083  366.86075325  619.77908498  402.67244548]","[ 113.66909932  574.63283864  -24.29633178   96.84019006  467.65264546
  305.51462114  404.89455251  431.70513385  400.01638895  371.2824839
  113.66909932   96.84019006  301.60028279  724.18765693  -70.61958458
  289.76211909  169.26935325  -70.61958458  495.90199289]"
"[ 304.59043887  418.60520818  177.52674131  496.21807177   81.42443076
  104.20614926  104.59692983  282.19089386  -40.33100924  159.94893626
  177.52674131  496.21807177  418.60520818  177.52674131  306.96308554
  104.59692983  255.08667035  177.52674131  496.21807177]","[ 650.29050933  450.96615346  863.37445243  607.31756433  413.79101
  522.78290937  892.78587591  834.83202988  142.72044804  896.47134369
  424.33645128  791.56871397  594.00972927  479.24514614  666.22905099
  570.11873468  319.02741326  479.24514614  892.78587591]","[ 344.16138828  433.69092465  386.05782046  606.59781192  160.23850209
  278.01920407  412.40976023   22.60378201  272.99702802 -272.61495917
  106.96311191  393.15329748   51.96280701  699.23853055  699.23853055
  606.59781192  193.12965929  142.73673917  412.40976023]"
