policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.13965528  0.05987574 -0.02484142 ...,  0.3570149  -0.0025     -0.0255    ]","[-0.16572793  0.23256078 -0.06387623 ..., -0.42967694 -0.00449999 -0.0065    ]","[-0.07451779  0.1719696  -0.07499283 ...,  0.37687687 -0.0025     -0.0165    ]","[-0.07799665  0.20925692  0.14899168 ...,  0.39006083  0.0005     -0.0085    ]","[ 0.14542471 -0.19183804 -0.15895441 ..., -0.26067967 -0.0005     -0.0185    ]"
"[ 0.14115528  0.06137574 -0.02634142 ...,  0.3575149  -0.002      -0.027     ]","[-0.16322793  0.23106078 -0.06237623 ..., -0.43217694 -0.00599999 -0.008     ]","[-0.07601779  0.1734696  -0.07349283 ...,  0.37937687 -0.001      -0.019     ]","[-0.07849665  0.20775692  0.14949168 ...,  0.39056083  0.001      -0.01      ]","[ 0.14492471 -0.19033804 -0.15745441 ..., -0.26417967 -0.001      -0.022     ]"
"[  1.40155278e-01   6.13757389e-02  -2.53414246e-02 ...,   3.59514902e-01
   1.25791899e-10  -2.99999999e-02]","[-0.16322794  0.23106078 -0.06237623 ..., -0.43317694 -0.00499999 -0.008     ]","[-0.07701779  0.1744696  -0.07249283 ...,  0.38037687  0.002      -0.019     ]","[ -7.74966544e-02   2.08756916e-01   1.48491682e-01 ...,   3.91560830e-01
  -5.91087863e-10  -1.10000000e-02]","[ 0.14592471 -0.19133804 -0.15845441 ..., -0.26517967 -0.002      -0.024     ]"
"[ 0.13965528  0.06087574 -0.02684142 ...,  0.3600149   0.0005     -0.0315    ]","[-0.16022794  0.22806078 -0.05937623 ..., -0.43617694 -0.00599999 -0.01      ]","[ -7.40177946e-02   1.71469603e-01  -7.54928283e-02 ...,   3.82376875e-01
  -1.55014081e-10  -1.99999999e-02]","[-0.07549665  0.20975692  0.14649168 ...,  0.39056083  0.002      -0.013     ]","[ 0.14342471 -0.18883804 -0.15595441 ..., -0.26667967 -0.0005     -0.0255    ]"
"[ 0.14215528  0.06437574 -0.02934142 ...,  0.3615149  -0.001      -0.034     ]","[-0.15772794  0.22556078 -0.05787623 ..., -0.43867694 -0.00449999 -0.0105    ]","[-0.07351779  0.1709696  -0.07599283 ...,  0.38287687 -0.0015     -0.0215    ]","[-0.07499665  0.20925692  0.14699168 ...,  0.39106083  0.0025     -0.0135    ]","[ 0.14492471 -0.19033804 -0.15845441 ..., -0.26817967  0.001      -0.028     ]"
"[  1.41155278e-01   6.53757387e-02  -2.83414244e-02 ...,   3.62514902e-01
   1.31932729e-10  -3.49999998e-02]","[-0.15472794  0.22456078 -0.05687623 ..., -0.44167694 -0.00649999 -0.0115    ]","[ -7.30177946e-02   1.70469603e-01  -7.64928283e-02 ...,   3.82376875e-01
  -1.51034652e-10  -2.19999999e-02]","[ -7.34966545e-02   2.09756914e-01   1.45491682e-01 ...,   3.90560830e-01
  -5.95457894e-10  -1.70000000e-02]","[  1.46924705e-01  -1.91338038e-01  -1.58454412e-01 ...,  -2.70179670e-01
   7.14601993e-11  -3.09999996e-02]"
"[ 0.14215528  0.06537574 -0.02834142 ...,  0.3615149   0.001      -0.036     ]","[-0.15322794  0.22606078 -0.05837623 ..., -0.44317694 -0.00499999 -0.013     ]","[ -7.50177946e-02   1.72469603e-01  -7.44928283e-02 ...,   3.81376875e-01
  -1.45015702e-10  -2.29999999e-02]","[-0.07449665  0.20875691  0.14649168 ...,  0.39156083  0.001      -0.018     ]","[ 0.14692471 -0.19033804 -0.15845441 ..., -0.27317967 -0.001      -0.034     ]"
"[ 0.14065528  0.06487575 -0.02884142 ...,  0.3630149  -0.0005     -0.0365    ]","[-0.15022794  0.22406078 -0.05637623 ..., -0.44617694 -0.00299999 -0.017     ]","[-0.07301779  0.1704696  -0.07749283 ...,  0.38237687  0.001      -0.026     ]","[-0.07299665  0.20925691  0.14499168 ...,  0.39306083 -0.0005     -0.0225    ]","[ 0.14542471 -0.18783804 -0.15595441 ..., -0.27467967 -0.0015     -0.0365    ]"
"[ 0.13915528  0.06537574 -0.02734142 ...,  0.3645149  -0.002      -0.037     ]","[-0.14922794  0.22206078 -0.05437623 ..., -0.44817694 -0.00499999 -0.019     ]","[-0.07301779  0.1704696  -0.07749283 ...,  0.38337687  0.001      -0.027     ]","[-0.07149665  0.20975691  0.14349168 ...,  0.39156083  0.001      -0.024     ]","[ 0.14792471 -0.19033804 -0.15845441 ..., -0.27517967 -0.003      -0.037     ]"
"[  1.38155278e-01   6.63757472e-02  -2.63414243e-02 ...,   3.66514902e-01
   1.30101268e-10  -3.89999998e-02]","[-0.14672794  0.22256078 -0.05487623 ..., -0.44967694 -0.00549999 -0.0215    ]","[ -7.60177945e-02   1.73469603e-01  -7.44928282e-02 ...,   3.87376874e-01
  -1.62691933e-10  -3.09999999e-02]","[-0.07149665  0.20875691  0.14349168 ...,  0.39256083  0.003      -0.028     ]","[ 0.14942471 -0.19183804 -0.15795441 ..., -0.27667967 -0.0015     -0.0365    ]"
"[ 0.13915528  0.06537575 -0.02734142 ...,  0.3675149   0.001      -0.04      ]","[-0.14622794  0.22106078 -0.05237623 ..., -0.45017694 -0.00799999 -0.024     ]","[-0.07551779  0.1739696  -0.07499283 ...,  0.38787687  0.0005     -0.0315    ]","[-0.07249665  0.20775691  0.14449168 ...,  0.39356083  0.001      -0.03      ]","[ 0.14892471 -0.19033804 -0.15745441 ..., -0.27617967  0.001      -0.039     ]"
"[ 0.13865528  0.06587575 -0.02684142 ...,  0.3680149   0.0005     -0.0405    ]","[-0.14522794  0.22106078 -0.05237623 ..., -0.45117694 -0.00799999 -0.025     ]","[-0.07601779  0.1714696  -0.07449283 ...,  0.39237687 -0.003      -0.035     ]","[ -7.24966544e-02   2.07756914e-01   1.44491682e-01 ...,   3.93560830e-01
  -5.97140265e-10  -2.90000000e-02]","[ 0.14992471 -0.19133804 -0.15845441 ..., -0.27617967  0.001      -0.039     ]"
"[ 0.14015528  0.06637575 -0.02834142 ...,  0.3695149   0.002      -0.039     ]","[-0.14672794  0.22256078 -0.05387623 ..., -0.44967694 -0.00649999 -0.0265    ]","[-0.07501779  0.1704696  -0.07549283 ...,  0.39337687 -0.002      -0.036     ]","[-0.07299665  0.20725691  0.14499168 ...,  0.39406083 -0.0015     -0.0295    ]","[ 0.15142471 -0.19283804 -0.15995441 ..., -0.27667967 -0.0005     -0.0395    ]"
"[  1.36155278e-01   7.03757471e-02  -2.43414243e-02 ...,   3.72514902e-01
   1.25150060e-10  -4.09999999e-02]","[-0.14222794  0.22106078 -0.05237623 ..., -0.45317694 -0.00399999 -0.03      ]","[-0.07251779  0.1659696  -0.07799283 ...,  0.39587687  0.0005     -0.0405    ]","[-0.07049665  0.20975691  0.14249168 ...,  0.39056083  0.001      -0.029     ]","[ 0.15042471 -0.19183804 -0.15895441 ..., -0.27767967 -0.0005     -0.0405    ]"
"[ 0.13565528  0.07087575 -0.02384142 ...,  0.3730149  -0.0005     -0.0415    ]","[-0.14122794  0.22006078 -0.05237623 ..., -0.45317694 -0.00399999 -0.031     ]","[-0.07401779  0.1644696  -0.07649283 ...,  0.39737687  0.002      -0.041     ]","[-0.06949665  0.21075691  0.14149168 ...,  0.38956083  0.002      -0.03      ]","[ 0.15042471 -0.19183804 -0.15895441 ..., -0.27867967  0.0015     -0.0415    ]"
"[  1.37155278e-01   6.93757471e-02  -2.53414243e-02 ...,   3.74514902e-01
   1.30019718e-10  -4.39999999e-02]","[-0.13772794  0.22156078 -0.05387623 ..., -0.45567694 -0.00449999 -0.0345    ]","[-0.07501779  0.1604696  -0.07549283 ...,  0.40037687  0.003      -0.043     ]","[-0.06999665  0.21025691  0.14199168 ...,  0.39106083  0.0025     -0.0315    ]","[ 0.15092471 -0.19233804 -0.15945441 ..., -0.27717967  0.001      -0.043     ]"
"[ 0.13615528  0.07237575 -0.02734142 ...,  0.3715149   0.002      -0.046     ]","[-0.13772794  0.22256078 -0.05487623 ..., -0.45767694 -0.00449999 -0.0355    ]","[-0.07301779  0.1584696  -0.07749283 ...,  0.40137687  0.002      -0.045     ]","[ -7.34966544e-02   2.06756914e-01   1.45491682e-01 ...,   3.94560830e-01
  -5.99012455e-10  -3.40000000e-02]","[ 0.15192471 -0.19333804 -0.16145441 ..., -0.27717967  0.001      -0.045     ]"
"[ 0.13665528  0.07187575 -0.02684142 ...,  0.3720149   0.0025     -0.0465    ]","[-0.13822794  0.22206078 -0.05437623 ..., -0.45917694 -0.00599999 -0.037     ]","[-0.07151779  0.1549696  -0.07899283 ...,  0.40287687 -0.0005     -0.0475    ]","[-0.07449665  0.20575691  0.14649168 ...,  0.39456083 -0.001      -0.035     ]","[ 0.15092471 -0.19233804 -0.16045441 ..., -0.27717967 -0.001      -0.046     ]"
"[ 0.13665528  0.07187575 -0.02484142 ...,  0.3740149   0.0025     -0.0485    ]","[-0.13922794  0.21906078 -0.05237623 ..., -0.46317694 -0.00699999 -0.041     ]","[-0.07301779  0.1534696  -0.07749283 ...,  0.40437687 -0.001      -0.049     ]","[-0.07149665  0.20775691  0.14449168 ...,  0.39156083  0.001      -0.033     ]","[ 0.15142471 -0.19283804 -0.16095441 ..., -0.27767967  0.0015     -0.0485    ]"
"[ 0.13515528  0.07337575 -0.02234142 ...,  0.3755149   0.003      -0.052     ]","[-0.13872794  0.21956078 -0.05287623 ..., -0.46167694 -0.00849999 -0.0425    ]","[-0.07501779  0.1514696  -0.07549283 ...,  0.40637687 -0.003      -0.048     ]","[-0.07349665  0.20575691  0.14649168 ...,  0.39356083 -0.001      -0.034     ]","[ 0.15492471 -0.19633804 -0.16445441 ..., -0.27917967  0.001      -0.052     ]"
"[ 0.13515528  0.07337575 -0.02234142 ...,  0.3755149   0.004      -0.054     ]","[-0.13722794  0.22106078 -0.05437623 ..., -0.46317694 -0.00799999 -0.044     ]","[-0.07551779  0.14996961 -0.07499283 ...,  0.40887687 -0.0035     -0.0475    ]","[-0.07499665  0.20425691  0.14799168 ...,  0.39706083 -0.0035     -0.0355    ]","[ 0.15592471 -0.19733804 -0.16345441 ..., -0.28117967  0.001      -0.053     ]"
"[ 0.13315528  0.07537575 -0.02634142 ...,  0.3735149   0.001      -0.056     ]","[-0.13722794  0.22106078 -0.05437623 ..., -0.46417694 -0.00799999 -0.045     ]","[-0.07801779  0.14746961 -0.07249283 ...,  0.41137687 -0.002      -0.051     ]","[-0.07249665  0.20675691  0.14549168 ...,  0.39656083 -0.002      -0.036     ]","[ 0.15592471 -0.19733804 -0.16345441 ..., -0.28117967 -0.002      -0.056     ]"
"[ 0.13265528  0.07587575 -0.02784142 ...,  0.3730149  -0.0005     -0.0575    ]","[-0.13522794  0.22206078 -0.05537623 ..., -0.46717694 -0.00499999 -0.048     ]","[-0.07901779  0.14546961 -0.07149283 ...,  0.41137687 -0.001      -0.053     ]","[-0.06949665  0.20975691  0.14249168 ...,  0.39356083 -0.001      -0.036     ]","[ 0.15542471 -0.19683804 -0.16295441 ..., -0.28167967 -0.0025     -0.0555    ]"
"[ 0.13115528  0.07737574 -0.02634142 ...,  0.3745149  -0.002      -0.058     ]","[-0.13472794  0.22156078 -0.05487623 ..., -0.46867694 -0.00449999 -0.0485    ]","[-0.07801779  0.1454696  -0.07249283 ...,  0.41337687 -0.002      -0.053     ]","[-0.07249665  0.20675691  0.14549168 ...,  0.39656083  0.001      -0.038     ]","[ 0.15342471 -0.19383804 -0.16095441 ..., -0.28167967 -0.0055     -0.0595    ]"
"[ 0.13165528  0.07687574 -0.02684142 ...,  0.3730149  -0.0005     -0.0585    ]","[-0.13572794  0.21956078 -0.05287623 ..., -0.46667694 -0.00449999 -0.0485    ]","[-0.07901779  0.1464696  -0.07149283 ...,  0.41437687 -0.001      -0.052     ]","[-0.07299665  0.20625691  0.14599168 ...,  0.39806083  0.0035     -0.0395    ]","[ 0.15492471 -0.19533804 -0.16345441 ..., -0.28217967 -0.004      -0.06      ]"
"[  1.35155281e-01   7.33757446e-02  -3.03414174e-02 ...,   3.70514903e-01
   4.05697606e-10  -6.19999992e-02]","[-0.13422794  0.22106078 -0.05437623 ..., -0.46817694 -0.00299999 -0.05      ]","[-0.08051779  0.1479696  -0.06999283 ...,  0.41587687 -0.0005     -0.0525    ]","[ -6.94966551e-02   2.09756912e-01   1.42491682e-01 ...,   3.95560829e-01
  -5.55419547e-10  -4.09999990e-02]","[ 0.15592471 -0.19633804 -0.16445441 ..., -0.28117967 -0.003      -0.061     ]"
"[  1.36155281e-01   7.13757447e-02  -2.93414179e-02 ...,   3.68514903e-01
   4.07212332e-10  -6.39999992e-02]","[-0.13422794  0.22106078 -0.05437623 ..., -0.46817694 -0.00299999 -0.051     ]","[-0.07701779  0.1444696  -0.07349283 ...,  0.41337687  0.004      -0.049     ]","[-0.06999666  0.20925691  0.14299168 ...,  0.39606083  0.0005     -0.0415    ]","[ 0.15842471 -0.19883804 -0.16695441 ..., -0.28367967 -0.0055     -0.0635    ]"
"[ 0.13215528  0.07537574 -0.03334142 ...,  0.3725149   0.002      -0.065     ]","[-0.13572793  0.21956079 -0.05287623 ..., -0.46967694 -0.00249999 -0.0515    ]","[-0.07601779  0.1434696  -0.07449283 ...,  0.41337687  0.003      -0.049     ]","[-0.07449665  0.20475691  0.14749168 ...,  0.40156083  0.006      -0.046     ]","[ 0.15692471 -0.19733804 -0.16545441 ..., -0.28217967 -0.005      -0.065     ]"
"[ 0.13165528  0.07587574 -0.03384142 ...,  0.3740149   0.0025     -0.0635    ]","[ -1.36227932e-01   2.16060791e-01  -4.93762286e-02 ...,  -4.68176943e-01
   6.45173692e-09  -5.10000007e-02]","[-0.07451779  0.14196961 -0.07599283 ...,  0.41287687  0.0035     -0.0515    ]","[-0.07549665  0.20375691  0.14849168 ...,  0.40256083  0.007      -0.045     ]","[ 0.15592471 -0.19633804 -0.16445441 ..., -0.28317967 -0.005      -0.065     ]"
"[ 0.12965528  0.07687574 -0.03484141 ...,  0.3720149   0.0005     -0.0675    ]","[ -1.35227935e-01   2.15060791e-01  -4.83762287e-02 ...,  -4.67176943e-01
   6.45666824e-09  -5.00000007e-02]","[-0.07701779  0.14246959 -0.07349283 ...,  0.41537687  0.006      -0.055     ]","[-0.07499665  0.20425691  0.14799168 ...,  0.40206083  0.0065     -0.0455    ]","[ 0.15542471 -0.19583804 -0.16395441 ..., -0.28467967 -0.0055     -0.0665    ]"
"[  1.31155283e-01   7.53757446e-02  -3.33414150e-02 ...,   3.72514904e-01
   4.16411323e-10  -6.89999992e-02]","[-0.13222794  0.21806079 -0.05137623 ..., -0.47117694 -0.00199999 -0.055     ]","[-0.07701779  0.14246959 -0.07349283 ...,  0.41537687  0.006      -0.056     ]","[-0.06949665  0.20975691  0.14249168 ...,  0.39656083  0.003      -0.043     ]","[ 0.15392471 -0.19433804 -0.16145441 ..., -0.28717967 -0.003      -0.071     ]"
"[  1.34155281e-01   7.23757449e-02  -3.03414163e-02 ...,   3.74514904e-01
   4.12343128e-10  -7.09999992e-02]","[-0.13272794  0.21756079 -0.05087623 ..., -0.47067694 -0.00249999 -0.0555    ]","[-0.07851779  0.14396959 -0.07199283 ...,  0.41787687  0.0075     -0.0595    ]","[-0.07049665  0.20875691  0.14349168 ...,  0.39756083  0.004      -0.044     ]","[ 0.15392471 -0.19433804 -0.16145441 ..., -0.28817967 -0.002      -0.072     ]"
"[ 0.13615528  0.07037575 -0.02834142 ...,  0.3765149   0.002      -0.073     ]","[-0.13172794  0.21856079 -0.05187623 ..., -0.47267694 -0.00449999 -0.0565    ]","[-0.07901779  0.14446959 -0.07149283 ...,  0.42037687  0.005      -0.062     ]","[-0.07499665  0.20425691  0.14799168 ...,  0.40206083  0.0075     -0.0455    ]","[ 0.15592471 -0.19633804 -0.16345441 ..., -0.28817967 -0.003      -0.073     ]"
"[ 0.13365528  0.07287575 -0.02584142 ...,  0.3800149   0.0055     -0.0765    ]","[-0.13072794  0.21956079 -0.05287623 ..., -0.47067694 -0.00549999 -0.0555    ]","[-0.08101779  0.14646959 -0.06949283 ...,  0.42237687  0.003      -0.065     ]","[-0.07549665  0.20375691  0.14849168 ...,  0.40056083  0.006      -0.045     ]","[  1.53924705e-01  -1.94338040e-01  -1.61454410e-01 ...,  -2.91179670e-01
  -1.33069860e-10  -7.69999995e-02]"
"[ 0.13115528  0.07537575 -0.02334142 ...,  0.3825149   0.004      -0.074     ]","[-0.13222785  0.22006079 -0.05337623 ..., -0.46817694 -0.00699999 -0.056     ]","[-0.08151779  0.14696959 -0.06899283 ...,  0.42387687  0.0035     -0.0655    ]","[-0.07649665  0.20275691  0.14949168 ...,  0.40156083  0.007      -0.044     ]","[ 0.15292471 -0.19333804 -0.16045441 ..., -0.29017967  0.001      -0.078     ]"
"[ 0.12965528  0.07687575 -0.02184142 ...,  0.3840149   0.0025     -0.0725    ]","[-0.13122785  0.22106079 -0.05437623 ..., -0.46717694 -0.00699999 -0.057     ]","[-0.08001779  0.14646959 -0.07049283 ...,  0.42537687  0.002      -0.063     ]","[-0.07699665  0.20225691  0.14999168 ...,  0.40106083  0.0075     -0.0435    ]","[ 0.15292471 -0.19333804 -0.15945441 ..., -0.29017967  0.002      -0.078     ]"
"[ 0.13315528  0.07337575 -0.02534142 ...,  0.3805149   0.006      -0.076     ]","[-0.13522785  0.21706079 -0.05037623 ..., -0.47117694 -0.00399999 -0.053     ]","[-0.07951779  0.1449696  -0.07099283 ...,  0.42487687  0.0015     -0.0635    ]","[-0.07499665  0.20425691  0.14799168 ...,  0.39706083  0.0045     -0.0465    ]","[ 0.1544247  -0.19483804 -0.15895441 ..., -0.28967967  0.0015     -0.0785    ]"
"[ 0.13415527  0.07337575 -0.02534142 ...,  0.3785149   0.008      -0.077     ]","[-0.13472785  0.21756079 -0.05087623 ..., -0.47067694 -0.00349999 -0.0535    ]","[-0.08001779  0.1464696  -0.07049283 ...,  0.42837687 -0.001      -0.064     ]","[-0.07549665  0.20475691  0.14749168 ...,  0.39656083  0.004      -0.047     ]","[ 0.1539247  -0.19433804 -0.15845441 ..., -0.29017967  0.001      -0.077     ]"
"[ 0.13215528  0.07237575 -0.02334142 ...,  0.3815149   0.01       -0.081     ]","[-0.13022785  0.22106078 -0.05437623 ..., -0.47617694 -0.00699999 -0.058     ]","[-0.08001779  0.14646968 -0.07049283 ...,  0.42837687 -0.003      -0.063     ]","[-0.07749665  0.20275691  0.14949168 ...,  0.39856083  0.005      -0.049     ]","[ 0.1549247  -0.19533804 -0.15845442 ..., -0.29317967  0.003      -0.074     ]"
"[ 0.13315528  0.07237575 -0.02334142 ...,  0.3825149   0.011      -0.081     ]","[-0.12922786  0.22006079 -0.05337623 ..., -0.47717694 -0.00799999 -0.059     ]","[-0.08101779  0.14746968 -0.06949283 ...,  0.42937687 -0.003      -0.063     ]","[-0.07899665  0.20125691  0.15099168 ...,  0.40006083  0.0045     -0.0495    ]","[ 0.1554247  -0.19583804 -0.15895441 ..., -0.29567967  0.0045     -0.0745    ]"
"[ 0.13615528  0.06937575 -0.02034143 ...,  0.3795149   0.009      -0.084     ]","[-0.12822786  0.22106079 -0.05437623 ..., -0.47817694 -0.00699999 -0.059     ]","[-0.08301779  0.14946968 -0.06749283 ...,  0.42937687 -0.006      -0.063     ]","[-0.07649665  0.20375691  0.14849168 ...,  0.39856083  0.003      -0.052     ]","[ 0.1549247  -0.19533804 -0.15845441 ..., -0.29517967  0.003      -0.076     ]"
"[ 0.13515528  0.07037575 -0.02134143 ...,  0.3785149   0.01       -0.085     ]","[-0.12722786  0.22206079 -0.05537623 ..., -0.47717694 -0.00799999 -0.061     ]","[-0.08001779  0.14646968 -0.07049283 ...,  0.43137687 -0.004      -0.063     ]","[ -7.34966486e-02   2.06756913e-01   1.45491682e-01 ...,   3.96560829e-01
  -6.49681798e-10  -5.39999989e-02]","[ 0.1569247  -0.19733804 -0.16045441 ..., -0.29417967  0.002      -0.077     ]"
"[ 0.13465528  0.07087575 -0.02184143 ...,  0.3780149   0.0095     -0.0855    ]","[-0.12872784  0.22056079 -0.05387623 ..., -0.47467694 -0.00649999 -0.0585    ]","[-0.07851779  0.14396968 -0.07199283 ...,  0.42987687 -0.0025     -0.0635    ]","[-0.07449665  0.20575691  0.14649168 ...,  0.39456083  0.002      -0.056     ]","[ 0.1584247  -0.19883804 -0.16195441 ..., -0.29467967  0.0015     -0.0765    ]"
"[ 0.13265528  0.07087575 -0.02084143 ...,  0.3780149   0.0085     -0.0865    ]","[-0.12822784  0.22106079 -0.05437623 ..., -0.47617694 -0.00499999 -0.058     ]","[-0.08101779  0.14146969 -0.06949283 ...,  0.42837687 -0.004      -0.062     ]","[-0.07649665  0.20375691  0.14849168 ...,  0.39256083  0.001      -0.057     ]","[ 0.1549247  -0.19533804 -0.15845441 ..., -0.29317967  0.002      -0.08      ]"
"[ 0.13415525  0.06937575 -0.01934143 ...,  0.3765149   0.01       -0.088     ]","[-0.12872784  0.22056079 -0.05387623 ..., -0.47567694 -0.00549999 -0.0585    ]","[-0.08051779  0.14096969 -0.06999283 ...,  0.42787687 -0.0035     -0.0605    ]","[-0.07749665  0.20275691  0.14949168 ...,  0.39156083  0.001      -0.057     ]","[ 0.1549247  -0.19533804 -0.15845442 ..., -0.29217967  0.002      -0.081     ]"
