policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[-0.17443204 -0.10896689 -0.00065485 ...,  0.00749999 -0.00349998
 -0.00149998]","[-0.18094883  0.08111689  0.12918692 ...,  0.00550001 -0.0325     -0.01350001]","[-0.0065386   0.02026442 -0.13874337 ..., -0.00200002 -0.01999999
 -0.01299999]","[-0.13740977  0.11303693 -0.22035062 ...,  0.0110005  -0.00500001 -0.001     ]","[-0.08662574 -0.02892332 -0.0706883  ...,  0.002      -0.045      -0.026     ]"
"[ -1.74932019e-01  -1.11466875e-01  -1.55186895e-04 ...,   4.99998862e-03
  -1.99998102e-03  -3.99997674e-03]","[-0.18294883  0.08011689  0.12718694 ...,  0.00650001 -0.0335     -0.01350001]","[-0.00603861  0.01876443 -0.13924337 ..., -0.00250002 -0.02149999
 -0.01449999]","[-0.13440978  0.11603692 -0.22235061 ...,  0.0090005  -0.00500002  0.001     ]","[-0.08662574 -0.02892332 -0.07068831 ...,  0.001      -0.045      -0.027     ]"
"[-0.17393203 -0.11046706 -0.00115514 ...,  0.00599999 -0.00099998
 -0.00299998]","[-0.18044884  0.08161688  0.12868695 ...,  0.00500001 -0.035      -0.01600001]","[-0.00453861  0.02026442 -0.14074336 ..., -0.00400001 -0.02199999
 -0.01300001]","[-0.13240979  0.11503694 -0.22035063 ...,  0.0070005  -0.00300002 -0.001     ]","[-0.08512576 -0.02642342 -0.0711883  ..., -0.0005     -0.04549999 -0.0285    ]"
"[-0.17143204 -0.11196707 -0.00165518 ...,  0.00849999 -0.00149998
 -0.00149998]","[-0.18094884  0.08211687  0.12818695 ...,  0.00450001 -0.0355     -0.01550001]","[-0.00303872  0.02176439 -0.14224332 ..., -0.00150001 -0.02149999
 -0.01550001]","[-0.13140979  0.11503695 -0.21935063 ...,  0.0070005  -0.00300002 -0.002     ]","[-0.08362576 -0.02492344 -0.07368827 ..., -0.00199999 -0.04399999 -0.03      ]"
"[-0.17193203 -0.11346705 -0.00315517 ...,  0.00999999 -0.00299998
 -0.00199998]","[-0.18194883  0.08111687  0.12718695 ...,  0.00550001 -0.0365     -0.01950001]","[-0.00053873  0.02326438 -0.14074333 ..., -0.00300001 -0.02299999
 -0.01400001]","[-0.12740983  0.11603694 -0.22135057 ...,  0.00600051 -0.00800001 -0.006     ]","[-0.08112571 -0.02642343 -0.07718825 ..., -0.00249999 -0.04349999 -0.0325    ]"
"[-0.17293203 -0.11546706 -0.00615516 ...,  0.01499999 -0.00599998
 -0.00299997]","[-0.18044884  0.08361687  0.12868695 ...,  0.00400001 -0.037      -0.021     ]","[ 0.00046127  0.02326441 -0.13874339 ..., -0.00400001 -0.02499999
 -0.01400001]","[-0.12640985  0.11503697 -0.22035058 ...,  0.00700051 -0.00900001 -0.007     ]","[-0.08162571 -0.02692343 -0.07868824 ..., -0.00399999 -0.04499999 -0.033     ]"
"[-0.17493202 -0.11346709 -0.00815515 ...,  0.01799999 -0.00999998
 -0.00199997]","[-0.18444884  0.08561685  0.12968694 ...,  0.00300001 -0.036      -0.021     ]","[-0.00053872  0.02326475 -0.1357434  ..., -0.00700001 -0.02599999
 -0.01300001]","[-0.12540986  0.11503697 -0.2213505  ...,  0.00700051 -0.00900001 -0.007     ]","[-0.08062575 -0.02792342 -0.07768826 ..., -0.00299999 -0.04599999 -0.034     ]"
"[ -1.75932003e-01  -1.11467104e-01  -6.15519328e-03 ...,   1.59999905e-02
  -1.19999806e-02   3.00377532e-08]","[-0.18344884  0.08461685  0.13068694 ...,  0.00300001 -0.037      -0.022     ]","[-0.00353868  0.02426474 -0.13373873 ..., -0.00900001 -0.02599998
 -0.01500001]","[-0.12690972  0.11353699 -0.22285042 ...,  0.00450051 -0.00850001 -0.0075    ]","[-0.08012575 -0.02742342 -0.07718826 ..., -0.00349999 -0.04549999
 -0.03449999]"
"[-0.17793198 -0.1104671  -0.00415521 ...,  0.01299999 -0.01699998
  0.00500003]","[-0.18644884  0.08161686  0.12768694 ...,  0.00500001 -0.038      -0.021     ]","[-0.00203869  0.02476474 -0.13523873 ..., -0.01050001 -0.02749998
 -0.01450001]","[-0.12340975  0.11503697 -0.22035039 ...,  0.00500051 -0.00900001 -0.011     ]","[-0.08062573 -0.02692341 -0.07868805 ..., -0.00099999 -0.04499999
 -0.03499999]"
"[-0.17743197 -0.10996711 -0.00065521 ...,  0.01249999 -0.01749998
  0.00750003]","[-0.18644808  0.07761686  0.12668696 ...,  0.01000001 -0.042      -0.022     ]","[-0.00353868  0.02326475 -0.13573872 ..., -0.00900001 -0.02799998
 -0.01700001]","[-0.12290975  0.111537   -0.21885044 ...,  0.00650051 -0.00850001 -0.0145    ]","[-0.08212573 -0.02842341 -0.07818805 ..., -0.00049999 -0.04749999 -0.0345    ]"
"[-0.17493197 -0.1124671   0.00084478 ...,  0.01199999 -0.01499998
  0.00600003]","[-0.18594816  0.07711686  0.12618696 ...,  0.00950001 -0.0435     -0.0225    ]","[-0.00153869  0.02526465 -0.13773847 ..., -0.01000001 -0.02899998
 -0.01500001]","[-0.12540968  0.109037   -0.21935044 ...,  0.00600051 -0.01000001 -0.015     ]","[-0.08362571 -0.02692342 -0.07768785 ..., -0.00199999 -0.04899999 -0.035     ]"
"[-0.17093197 -0.11746709  0.00184482 ...,  0.00999999 -0.01199998
  0.00300003]","[-0.18244817  0.07961686  0.12868696 ...,  0.00700001 -0.047      -0.024     ]","[ 0.00046163  0.02726465 -0.13873846 ..., -0.01100001 -0.02999998
 -0.01300001]","[-0.12490967  0.110537   -0.21985044 ...,  0.00650051 -0.01050001 -0.0155    ]","[-0.08312571 -0.02642337 -0.07718786 ..., -0.00449999 -0.04850003 -0.0365    ]"
"[-0.16993197 -0.12046709  0.00184479 ...,  0.00899999 -0.00999998
  0.00200003]","[-0.18244816  0.08261685  0.12768696 ...,  0.00600001 -0.04899999 -0.025     ]","[-0.00153804  0.02826464 -0.13973845 ..., -0.01300001 -0.03099998
 -0.01200001]","[-0.12640966  0.11003701 -0.21835047 ...,  0.00700051 -0.01200001 -0.017     ]","[-0.08162572 -0.02592338 -0.07768785 ..., -0.00299999 -0.05000003 -0.038     ]"
"[-0.17093201 -0.12246708 -0.00115521 ...,  0.01099999 -0.00699998
  0.00200003]","[-0.18344816  0.08361685  0.12668697 ...,  0.00700001 -0.04999999 -0.026     ]","[-0.00303804  0.02876463 -0.13823846 ..., -0.01350001 -0.03149998
 -0.01350001]","[-0.12540968  0.10903703 -0.21935029 ...,  0.00500051 -0.01400001 -0.019     ]","[-0.08112572 -0.02542338 -0.07818784 ..., -0.00349999 -0.04950003 -0.0375    ]"
"[ -1.69932006e-01  -1.23467082e-01  -1.55205427e-04 ...,   1.09999899e-02
  -7.99998196e-03   3.00002954e-03]","[-0.18494816  0.08211685  0.12518697 ...,  0.00850001 -0.0485     -0.0245    ]","[-0.00503803  0.02976462 -0.13923836 ..., -0.01250001 -0.03349998
 -0.01250001]","[-0.12440969  0.11003702 -0.21835033 ...,  0.00400051 -0.01500001 -0.018     ]","[-0.08212561 -0.02642338 -0.07818784 ..., -0.00149999 -0.05050003 -0.0395    ]"
"[-0.17193198 -0.12446708 -0.00215524 ...,  0.01199999 -0.00499998
 -0.00199997]","[-0.18844815  0.07961686  0.12268697 ...,  0.01000001 -0.046      -0.025     ]","[-0.00553799  0.02826467 -0.13873854 ..., -0.01100001 -0.03299998
 -0.01400001]","[-0.12340972  0.11103701 -0.21935032 ...,  0.00500051 -0.01700001 -0.016     ]","[-0.0826256  -0.02492356 -0.07868783 ..., -0.00399999 -0.05200003 -0.04      ]"
"[-0.17293195 -0.12446711 -0.00415524 ...,  0.01499999 -0.00999998
 -0.00499997]","[-0.18744815  0.08061685  0.12368697 ...,  0.01100001 -0.047      -0.026     ]","[-0.00753804  0.02626474 -0.13973854 ..., -0.01000001 -0.03199998
 -0.01400001]","[-0.12191043  0.10953703 -0.21985032 ...,  0.00450051 -0.01850001 -0.0145    ]","[-0.08412559 -0.02342364 -0.08018781 ..., -0.00549999 -0.05350003 -0.0415    ]"
"[-0.17243195 -0.12396711 -0.00465524 ...,  0.01549999 -0.01049998
 -0.00449997]","[-0.18644799  0.08161695  0.12668656 ...,  0.01300001 -0.049      -0.029     ]","[-0.00803804  0.02676474 -0.14023854 ..., -0.01050001 -0.03149998
 -0.01450001]","[-0.11991045  0.10853704 -0.21985016 ...,  0.00650051 -0.01750001 -0.0165    ]","[-0.08512559 -0.02542363 -0.08118779 ..., -0.00450001 -0.05450003
 -0.04249999]"
"[-0.16793196 -0.11946711 -0.00615522 ...,  0.01299998 -0.01599998
 -0.00999997]","[-0.18744799  0.08061695  0.12568656 ...,  0.01400001 -0.048      -0.03      ]","[-0.00653805  0.02826474 -0.14173853 ..., -0.01100001 -0.03299998
 -0.01400001]","[-0.11841046  0.10703707 -0.21835021 ...,  0.00800051 -0.01900001 -0.018     ]","[-0.08562557 -0.02392364 -0.08268778 ..., -0.00400001 -0.05400003 -0.042     ]"
"[-0.16593196 -0.11646712 -0.00915522 ...,  0.01199983 -0.01999998
 -0.01399997]","[-0.18744799  0.07861697  0.12368657 ...,  0.01500001 -0.045      -0.032     ]","[-0.00953804  0.02526476 -0.13873853 ..., -0.00900001 -0.03699998
 -0.01700001]","[-0.11941045  0.10503707 -0.2203502  ...,  0.00800051 -0.02100001 -0.019     ]","[-0.08662556 -0.02492364 -0.08368776 ..., -0.00300001 -0.05400003 -0.041     ]"
"[-0.16693196 -0.11546712 -0.01015521 ...,  0.01299983 -0.02099998
 -0.01499997]","[-0.18844798  0.07861697  0.12368657 ...,  0.01500001 -0.044      -0.033     ]","[-0.01103803  0.0247648  -0.13723854 ..., -0.00750001 -0.03649998
 -0.01750001]","[-0.11841049  0.10603707 -0.2193506  ...,  0.00900051 -0.02000001 -0.02      ]","[-0.08562555 -0.02392364 -0.08468773 ..., -0.00500001 -0.05500002
 -0.04199999]"
"[-0.17193195 -0.1114671  -0.01515521 ...,  0.01099984 -0.02499999
 -0.01499997]","[-0.18694798  0.08011697  0.12518657 ...,  0.01350001 -0.0445     -0.0345    ]","[-0.00753804  0.02926479 -0.14073854 ..., -0.01200001 -0.03799998
 -0.01700001]","[-0.11791046  0.10653706 -0.2188506  ...,  0.0105005  -0.01950001 -0.0225    ]","[-0.08612555 -0.02442362 -0.08618753 ..., -0.00750001 -0.05650002
 -0.04349999]"
"[-0.17543194 -0.11196716 -0.01865519 ...,  0.01049984 -0.02649999
 -0.01549997]","[-0.18894797  0.07711698  0.12218659 ...,  0.01450001 -0.04449999 -0.0365    ]","[-0.00553804  0.03426474 -0.14473853 ..., -0.01600001 -0.03899998
 -0.01600001]","[-0.11541074  0.10303709 -0.22135058 ...,  0.0080005  -0.01900001 -0.025     ]","[-0.08762554 -0.02592362 -0.08468755 ..., -0.00900001 -0.05600003
 -0.04499999]"
"[-0.17393194 -0.11346716 -0.01715519 ...,  0.01099984 -0.02799999
 -0.01499997]","[-0.18844798  0.07861697  0.12268659 ...,  0.01300001 -0.04399999 -0.038     ]","[-0.00453805  0.03526473 -0.14573853 ..., -0.01500001 -0.03799998
 -0.01600001]","[-0.11491075  0.10353709 -0.22185057 ...,  0.0085005  -0.01850001 -0.0245    ]","[-0.08812554 -0.02642361 -0.08518755 ..., -0.00950001 -0.05650003
 -0.04549999]"
"[-0.16993194 -0.11546717 -0.01315519 ...,  0.01299984 -0.03199998
 -0.01499997]","[-0.18794799  0.07811697  0.12318658 ...,  0.01350001 -0.04449999 -0.0385    ]","[-0.00853804  0.03226474 -0.14073853 ..., -0.01100001 -0.03699998
 -0.01900001]","[-0.11741073  0.1010371  -0.22434986 ...,  0.0090005  -0.02000001 -0.027     ]","[-0.09062552 -0.02492363 -0.08368757 ..., -0.00900001 -0.05900003
 -0.04799999]"
"[-0.16593195 -0.11746716 -0.0101552  ...,  0.01299984 -0.03399998
 -0.01199997]","[-0.18844799  0.07861695  0.12368657 ...,  0.01300001 -0.043      -0.04      ]","[-0.01003804  0.03076474 -0.14023853 ..., -0.00950001 -0.03649998
 -0.01950001]","[-0.11891069  0.1015371  -0.22584984 ...,  0.0075005  -0.02050001 -0.0275    ]","[-0.09012555 -0.02642363 -0.08418752 ..., -0.00850001 -0.06050003
 -0.04949999]"
"[-0.16743195 -0.11696717 -0.0096552  ...,  0.01249984 -0.03349998
 -0.01049997]","[-0.18944797  0.07761695  0.12268658 ...,  0.01200001 -0.042      -0.041     ]","[-0.01153794  0.03226475 -0.14173852 ..., -0.01000001 -0.03899998
 -0.01900001]","[-0.12041059  0.1010371  -0.22734983 ...,  0.0060005  -0.02100001 -0.03      ]","[-0.09062553 -0.02792356 -0.08268754 ..., -0.01000001 -0.05800003
 -0.05199999]"
"[-0.16793189 -0.11646723 -0.00815521 ...,  0.01199984 -0.03199998
 -0.00999997]","[-0.18894805  0.07611695  0.12018675 ...,  0.01150001 -0.0425     -0.0435    ]","[-0.01003795  0.03376474 -0.14323852 ..., -0.01050001 -0.03849998
 -0.01950001]","[-0.11991063  0.10253708 -0.22684984 ...,  0.0075005  -0.02150001 -0.0315    ]","[-0.09012551 -0.02942355 -0.08218744 ..., -0.01250001 -0.05650003
 -0.05549999]"
"[-0.16843189 -0.11696723 -0.00765521 ...,  0.01249984 -0.03249998
 -0.00949997]","[-0.18794805  0.07711728  0.12118675 ...,  0.01050001 -0.0425     -0.0455    ]","[-0.01053794  0.03326475 -0.14273852 ..., -0.01200001 -0.03999998
 -0.02100001]","[-0.11841065  0.1020371  -0.22734975 ...,  0.0070005  -0.02000001 -0.03      ]","[-0.0916255  -0.03192352 -0.08268691 ..., -0.01000001 -0.05800003
 -0.05400004]"
"[-0.16943189 -0.11396724 -0.01065519 ...,  0.01049984 -0.03149998
 -0.01149997]","[-0.18844805  0.07661729  0.12068675 ...,  0.01200001 -0.04       -0.047     ]","[-0.00903806  0.03376474 -0.14123914 ..., -0.01250001 -0.04049998
 -0.02150001]","[-0.11891065  0.1025371  -0.22784975 ...,  0.0075005  -0.02050001 -0.0305    ]","[-0.0936255  -0.03492351 -0.08068683 ..., -0.00700001 -0.06100003
 -0.05400004]"
"[-0.17093177 -0.11246725 -0.01115518 ...,  0.00699984 -0.02799998
 -0.01499997]","[-0.18894804  0.07711728  0.12118674 ...,  0.01350001 -0.0405     -0.0475    ]","[-0.01053805  0.03526471 -0.14173893 ..., -0.01100001 -0.03999998
 -0.02000001]","[-0.11791065  0.10353709 -0.2268498  ...,  0.0065005  -0.02150001 -0.0295    ]","[-0.09462549 -0.03392352 -0.07968683 ..., -0.00800001 -0.06200003
 -0.05500004]"
"[-0.17093177 -0.11146723 -0.01115517 ...,  0.00199984 -0.02499998
 -0.01399997]","[-0.18844808  0.07861728  0.12268674 ...,  0.01100001 -0.041      -0.047     ]","[-0.01103805  0.03376474 -0.14223892 ..., -0.01150001 -0.04049998
 -0.02050001]","[-0.1169107   0.10153712 -0.22584982 ...,  0.0075005  -0.02050001 -0.0285    ]","[-0.0936255  -0.03092354 -0.07768697 ..., -0.00900001 -0.06400003
 -0.05800004]"
"[-0.17193176 -0.11146726 -0.01115517 ...,  0.00199984 -0.02299998
 -0.01399997]","[-0.18744809  0.07961727  0.12368673 ...,  0.01200001 -0.04       -0.048     ]","[-0.01003807  0.03576473 -0.14223905 ..., -0.01150001 -0.03949999
 -0.02250001]","[-0.11841067  0.10003713 -0.2273498  ...,  0.00700051 -0.02200001 -0.03      ]","[-0.0941255  -0.02942369 -0.07718699 ..., -0.00750001 -0.06450003
 -0.05750004]"
"[-0.17343176 -0.11096726 -0.01165517 ...,  0.00149984 -0.02249998
 -0.01249997]","[-0.18794808  0.07911726  0.12418673 ...,  0.01450001 -0.0385     -0.0515    ]","[-0.01053804  0.03726471 -0.14173905 ..., -0.01000001 -0.04099998
 -0.02300001]","[-0.11941067  0.09903713 -0.2283498  ...,  0.00700051 -0.02200001 -0.03      ]","[-0.09262551 -0.03092368 -0.07868698 ..., -0.00800001 -0.06400003
 -0.05600004]"
"[-0.17543174 -0.11096726 -0.01165517 ..., -0.00050016 -0.02349998
 -0.01149997]","[-0.18944806  0.07761728  0.12268674 ...,  0.01500001 -0.037      -0.052     ]","[-0.01153804  0.03626473 -0.14073907 ..., -0.00900001 -0.04199998
 -0.02200001]","[-0.11741071  0.10003713 -0.22634981 ...,  0.00800051 -0.02300001 -0.031     ]","[-0.08762552 -0.0289237  -0.07968698 ..., -0.00800001 -0.06500003
 -0.05500004]"
