policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[ -3.34471612e-02  -3.31279106e-01   1.75217356e-01 ...,  -2.31540210e-04
  -6.95732170e-03  -2.02001677e-02]","[ 0.1040952   0.03231195 -0.08017718 ...,  0.00292618  0.01288259
  0.00279763]","[ 0.27071606  0.19533351  0.03661129 ..., -0.00043261 -0.00085738
 -0.00527188]","[ 0.34435874  0.00915478 -0.34846456 ...,  0.00124145  0.00166156
  0.00123274]","[-0.09522447 -0.25783068 -0.02213423 ..., -0.00100052  0.00427879
 -0.00144269]","[ 0.03951311 -0.3182034  -0.09595605 ...,  0.01174755  0.00139644
  0.00099365]","[-0.0766008   0.00533658  0.34349579 ..., -0.00442747  0.00815636
  0.00073158]","[ 0.12953649  0.35207459  0.24710176 ..., -0.00293384 -0.00659459
  0.00553444]","[-0.25724345  0.32870076  0.04733643 ..., -0.00075706 -0.00308971
 -0.00091697]","[ 0.11319285  0.11150323  0.10536501 ..., -0.00295416  0.0012875
 -0.00306851]"
"[-0.03336182 -0.33318833  0.17419508 ..., -0.00035152 -0.00702887
 -0.0239779 ]","[ 0.10410127  0.03231921 -0.0801609  ...,  0.00305502  0.01287104
  0.00305484]","[ 0.27091882  0.19560499  0.03621893 ..., -0.00146107  0.00094739
 -0.00553022]","[ 0.34434253  0.00913874 -0.34848454 ...,  0.00121336  0.00194389
  0.00144324]","[-0.09508792 -0.25762513 -0.02227149 ..., -0.00060926  0.00393082
 -0.00168788]","[  4.00729573e-02  -3.18274721e-01  -9.59876990e-02 ...,   1.28732176e-02
   1.69812232e-04   2.85250047e-03]","[-0.07672565  0.0050866   0.34345912 ..., -0.00409823  0.00980731
  0.00056692]","[ 0.12875967  0.35184629  0.24831144 ..., -0.00240198 -0.00735506
  0.00675771]","[-0.25727145  0.32877293  0.04739159 ..., -0.00063456 -0.0037855
 -0.00137303]","[ 0.11290246  0.1114674   0.10529312 ..., -0.00326006  0.00102863
 -0.00316814]"
"[-0.03139154 -0.33644686  0.17156878 ...,  0.00234802 -0.00748587
 -0.0231152 ]","[ 0.10409133  0.03232346 -0.08018277 ...,  0.00333503  0.01288641
  0.00299191]","[ 0.27114139  0.19522612  0.03636728 ..., -0.00140401  0.00212327
 -0.00293662]","[ 0.34434093  0.00915844 -0.34854701 ...,  0.00113862  0.00206799
  0.00173659]","[-0.0950047  -0.25754909 -0.02234688 ..., -0.00047536  0.00357725
 -0.00205046]","[ 0.04034721 -0.31827076 -0.09582546 ...,  0.01300618 -0.00106637
  0.0036205 ]","[-0.07695319  0.00446563  0.34342912 ..., -0.00299681  0.01138234
  0.00068948]","[ 0.12823984  0.35173675  0.2492866  ..., -0.00260865 -0.00751433
  0.00660258]","[-0.25722188  0.3288141   0.04761072 ..., -0.00044945 -0.00409922
 -0.0015332 ]","[ 0.11276364  0.11140296  0.10525989 ..., -0.00316459  0.00059373
 -0.00321692]"
"[-0.03123779 -0.33556329  0.17147981 ...,  0.00639038 -0.01175853
 -0.02031989]","[ 0.10406887  0.03231849 -0.08024624 ...,  0.00361025  0.01276719
  0.00293006]","[ 0.2709267   0.19449851  0.03669754 ..., -0.00030752  0.00074719
 -0.00105608]","[ 0.34428975  0.00910039 -0.34851092 ...,  0.00101174  0.00214907
  0.0022085 ]","[-0.09492822 -0.25752603 -0.02242401 ..., -0.00075257  0.00322515
 -0.0026302 ]","[  4.06572590e-02  -3.18447278e-01  -9.57388774e-02 ...,   1.28174935e-02
   3.55575636e-05   2.03254943e-03]","[-0.07717439  0.0038131   0.34348453 ..., -0.00226302  0.01274283
  0.00124254]","[ 0.12765067  0.35167074  0.25024874 ..., -0.00354788 -0.00711965
  0.00509759]","[ -2.57135140e-01   3.28627999e-01   4.78979281e-02 ...,  -1.20484171e-04
  -4.27345385e-03  -1.65338086e-03]","[ 0.11282168  0.11129153  0.1052798  ..., -0.0030503   0.00033207
 -0.00335107]"
"[-0.0302062  -0.33477235  0.17045117 ...,  0.00632099 -0.01255056
 -0.01976415]","[ 0.10401901  0.03230521 -0.08034015 ...,  0.00379325  0.01273583
  0.00289058]","[  2.70241122e-01   1.93738134e-01   3.72458235e-02 ...,   7.89048796e-04
  -1.54892007e-04   6.51497421e-04]","[ 0.34425677  0.00909409 -0.34856115 ...,  0.00050577  0.00202876
  0.00244538]","[-0.09481185 -0.2575174  -0.02246374 ..., -0.00098348  0.00298065
 -0.00294994]","[  4.18681501e-02  -3.18879908e-01  -9.55658662e-02 ...,   1.24645619e-02
  -2.53240575e-04   8.35421598e-05]","[-0.07745244  0.00326614  0.34341351 ..., -0.00158296  0.01291559
  0.00114841]","[ 0.12747647  0.35182655  0.25097388 ..., -0.00493368 -0.00643377
  0.00442332]","[-0.25699856  0.32826254  0.04823164 ...,  0.00041559 -0.00431473
 -0.00203656]","[ 0.11277333  0.11126957  0.10524097 ..., -0.00302269  0.00015802
 -0.00312429]"
"[-0.03034176 -0.33444882  0.16979318 ...,  0.00554529 -0.0120231
 -0.01924876]","[ 0.10397293  0.03229543 -0.08036263 ...,  0.00390931  0.01244028
  0.00261116]","[ 0.26936945  0.19195286  0.03816755 ...,  0.00177676  0.0006971
  0.00088218]","[  3.44287554e-01   9.15638141e-03  -3.48663811e-01 ...,   1.57863432e-04
   1.59233191e-03   2.55352873e-03]","[-0.09471833 -0.25742846 -0.02250948 ..., -0.00102998  0.00268699
 -0.00314619]","[ 0.04311034 -0.31932038 -0.09556448 ...,  0.01255835 -0.00245023
 -0.00057003]","[-0.07784351  0.00234003  0.34340536 ..., -0.00085771  0.01258625
  0.00037135]","[ 0.12705887  0.35169912  0.25168899 ..., -0.00518644 -0.00605772
  0.00426266]","[-0.25697926  0.32820223  0.04827662 ...,  0.00114598 -0.00435565
 -0.00224272]","[ 0.11268416  0.1112243   0.10520905 ..., -0.00306969 -0.00014063
 -0.00308208]"
"[-0.02929989 -0.33298813  0.16902593 ...,  0.00327904 -0.01418672
 -0.01935735]","[ 0.10391153  0.03228138 -0.08041156 ...,  0.00401746  0.01193668
  0.00241416]","[ 0.2689544   0.19053336  0.04023604 ...,  0.00373261  0.0044655
 -0.00300938]","[  3.44340479e-01   9.21789842e-03  -3.48724377e-01 ...,   7.32671825e-05
   1.56795755e-03   2.78292589e-03]","[-0.09467865 -0.25735326 -0.02252308 ..., -0.00111147  0.00256947
 -0.00318868]","[ 0.04362054 -0.31952647 -0.09555102 ...,  0.01438838 -0.00366337
  0.00069863]","[ -7.81755448e-02   1.71203147e-03   3.43328177e-01 ...,  -1.31130896e-03
   1.32686159e-02  -1.86893066e-04]","[ 0.12669691  0.35153891  0.25229006 ..., -0.00476585 -0.00570068
  0.00411651]","[-0.25692874  0.32796989  0.04850283 ...,  0.00152749 -0.00367903
 -0.00228415]","[ 0.11257245  0.11122672  0.10516457 ..., -0.00323691 -0.00063065
 -0.00307198]"
"[ -2.52982136e-02  -3.30376907e-01   1.66283622e-01 ...,  -1.83159649e-04
  -1.66220182e-02  -1.87102645e-02]","[ 0.10383071  0.03226816 -0.08044775 ...,  0.00426736  0.01134272
  0.00236694]","[ 0.26967179  0.19167392  0.04079096 ...,  0.00497473  0.00644221
 -0.00655447]","[  3.44331944e-01   9.22311585e-03  -3.48724305e-01 ...,   8.00537318e-05
   1.44593800e-03   2.88220075e-03]","[-0.09461775 -0.25735939 -0.02257987 ..., -0.00148253  0.0024705  -0.003272  ]","[ 0.04505037 -0.32000029 -0.09570774 ...,  0.01708058 -0.00336535
  0.00169411]","[ -7.83886502e-02   1.18337548e-03   3.43295403e-01 ...,  -2.95622483e-03
   1.24231780e-02   1.90784048e-05]","[ 0.12653642  0.35150292  0.25306315 ..., -0.00591832 -0.00496567
  0.00471232]","[-0.25698473  0.32776071  0.0486042  ...,  0.0014516  -0.00324943
 -0.00254375]","[ 0.11244855  0.1112764   0.10510458 ..., -0.00348239 -0.00092809
 -0.00319724]"
"[-0.01811803 -0.32791006  0.16182946 ...,  0.00111903 -0.01938402
 -0.01822954]","[ 0.10379481  0.03226344 -0.08048524 ...,  0.0044865   0.01094731
  0.00221735]","[ 0.26943024  0.19241471  0.04165156 ...,  0.00562378  0.00737998
 -0.00941577]","[  3.44358750e-01   9.29279236e-03  -3.48818609e-01 ...,  -9.82900060e-06
   1.37057134e-03   2.97273859e-03]","[-0.09457788 -0.25735265 -0.02259562 ..., -0.00173914  0.00242801
 -0.00340114]","[  4.72812169e-02  -3.20543269e-01  -9.62371606e-02 ...,   1.99249299e-02
  -2.73543081e-03   8.37133676e-05]","[ -7.87127701e-02   5.10283315e-04   3.43177294e-01 ...,  -3.97522378e-03
   1.23085478e-02  -2.30533083e-04]","[ 0.12574704  0.35139947  0.25433974 ..., -0.00749137 -0.00400398
  0.00403049]","[-0.25706907  0.32800311  0.04849575 ...,  0.00160355 -0.00343437
 -0.00219549]","[ 0.11225439  0.11132632  0.10503591 ..., -0.00341973 -0.00099118
 -0.00337039]"
"[-0.01096256 -0.32590658  0.15683035 ...,  0.00294459 -0.01859749
 -0.01841221]","[ 0.10380318  0.03226741 -0.08044968 ...,  0.00451099  0.01075883
  0.00229081]","[ 0.26942092  0.19305166  0.04187037 ...,  0.00719492  0.00686057
 -0.01042995]","[  3.44394761e-01   9.35982136e-03  -3.48889593e-01 ...,  -3.87663258e-05
   1.46565258e-03   3.37353242e-03]","[-0.09457178 -0.25737108 -0.02262463 ..., -0.00195725  0.00248787
 -0.00340727]","[ 0.04818303 -0.32051818 -0.09677683 ...,  0.02057839 -0.0027582
 -0.00173858]","[-0.07859905  0.00120219  0.3428212  ..., -0.00734439  0.01341406
  0.00117682]","[ 0.12526933  0.35108601  0.25424968 ..., -0.00576308 -0.00371389
  0.00253723]","[-0.25709481  0.32799346  0.04842949 ...,  0.00295473 -0.00270423
 -0.00212509]","[ 0.1122349   0.111378    0.10501836 ..., -0.00337275 -0.00117402
 -0.00355433]"
"[-0.01428431 -0.32311579  0.15825125 ...,  0.00633007 -0.01925763
 -0.01714886]","[ 0.10378009  0.03226773 -0.08041487 ...,  0.00448368  0.01060321
  0.00226312]","[ 0.27015869  0.19392402  0.04244132 ...,  0.00857225  0.00482652
 -0.00871759]","[  3.44359676e-01   9.29785263e-03  -3.48777502e-01 ...,   5.42946356e-05
   1.34377784e-03   3.70948243e-03]","[-0.09465654 -0.25738724 -0.02257385 ..., -0.00207711  0.00256932
 -0.0034683 ]","[ 0.04770142 -0.32049369 -0.09671721 ...,  0.02131904 -0.00311219
 -0.00361594]","[-0.0785149   0.00153763  0.34239826 ..., -0.01050937  0.01480908
  0.00206796]","[ 0.12451315  0.35062932  0.25532553 ..., -0.00483405 -0.00333291
  0.00359563]","[-0.25703977  0.32803274  0.04851202 ...,  0.00368522 -0.00224396
 -0.00277164]","[ 0.11221376  0.11149163  0.10497745 ..., -0.0031828  -0.0013703
 -0.00373391]"
"[-0.02531323 -0.31942712  0.16468462 ..., -0.00122778 -0.01535852
 -0.02177952]","[ 0.10378305  0.03227409 -0.08041234 ...,  0.00447562  0.01062765
  0.00194707]","[ 0.26965457  0.1937874   0.04286777 ...,  0.01019445  0.00115679
 -0.00750838]","[  3.44305028e-01   9.23064337e-03  -3.48705625e-01 ...,  -3.55706397e-05
   1.31463335e-03   3.83209541e-03]","[-0.09480023 -0.25742195 -0.02247182 ..., -0.0020065   0.00250424
 -0.00356731]","[ 0.04853645 -0.3208747  -0.09627533 ...,  0.02170517 -0.00165899 -0.005323  ]","[-0.07845244  0.00178905  0.34216849 ..., -0.01294423  0.0166626
  0.00360884]","[ 0.12394419  0.34998234  0.25658823 ..., -0.00518952 -0.00277775
  0.00218632]","[-0.25707005  0.32803147  0.04867374 ...,  0.00387011 -0.0035899
 -0.00437129]","[ 0.11213175  0.11160449  0.10491421 ..., -0.00310248 -0.00155962
 -0.00388685]"
"[-0.03245868 -0.31152899  0.17112396 ..., -0.00936036 -0.00951075
 -0.02613275]","[ 0.1037738   0.03227796 -0.08039059 ...,  0.0042819   0.01068973
  0.00163814]","[ 0.2697563   0.19368803  0.04331999 ...,  0.01194353 -0.00119698
 -0.00730418]","[  3.44288800e-01   9.23757560e-03  -3.48787707e-01 ...,  -3.20713011e-04
   1.21232711e-03   3.87624577e-03]","[-0.09496661 -0.25747298 -0.02235972 ..., -0.00205585  0.00230613
 -0.00360542]","[ 0.0482518  -0.32065076 -0.09595524 ...,  0.02230255 -0.00132708
 -0.00614958]","[-0.07826308  0.00242584  0.34222754 ..., -0.01487647  0.01861885
  0.00301411]","[ 0.12389964  0.34953579  0.25635183 ..., -0.00538364 -0.00138479
  0.00297615]","[-0.25705763  0.32704893  0.04912476 ...,  0.00560481 -0.0035103
 -0.00723835]","[ 0.11199226  0.11173681  0.10482233 ..., -0.00292245 -0.00175762
 -0.00399083]"
"[-0.03918071 -0.30465588  0.17527882 ..., -0.01835749 -0.01341194
 -0.03538927]","[ 0.10376375  0.03228586 -0.08038189 ...,  0.00418328  0.01066363
  0.00128552]","[ 0.26988387  0.19380339  0.04474109 ...,  0.01349399 -0.00207942
 -0.00699242]","[ 0.34436352  0.00932535 -0.34893795 ..., -0.00055772  0.00117771
  0.00383864]","[-0.09511462 -0.25756529 -0.02229396 ..., -0.00215579  0.00234975
 -0.00376965]","[ 0.04885522 -0.3199675  -0.09590518 ...,  0.02083739 -0.00067263
 -0.0063184 ]","[-0.07817783  0.00272977  0.34225719 ..., -0.0150821   0.02030002
  0.00283203]","[  1.22307230e-01   3.48834963e-01   2.58359822e-01 ...,  -3.20325357e-03
   2.68411628e-04   2.67450672e-03]","[-0.25705043  0.32580243  0.04963006 ...,  0.00668694 -0.00320853
 -0.0093216 ]","[ 0.11206402  0.11177498  0.10480394 ..., -0.00282633 -0.00186523
 -0.00394628]"
"[-0.04308219 -0.29142954  0.18010224 ..., -0.031276   -0.01918662
 -0.03444589]","[ 0.10370941  0.03230276 -0.08027505 ...,  0.00415773  0.01072601
  0.00088351]","[ 0.26990246  0.19403777  0.045939   ...,  0.01536387 -0.00160907
 -0.00963801]","[ 0.34445627  0.00943114 -0.34910469 ..., -0.00065205  0.00114948
  0.00369519]","[-0.09527653 -0.25764605 -0.02219297 ..., -0.00235822  0.00243118
 -0.00401004]","[ 0.05033863 -0.32014925 -0.09598547 ...,  0.02178059 -0.00045862
 -0.00711873]","[-0.07797233  0.00317883  0.34238095 ..., -0.01641546  0.02237926
  0.00411777]","[ 0.12109169  0.34802749  0.25993257 ...,  0.00116228 -0.00228607
  0.0013121 ]","[-0.25710015  0.32557161  0.04965435 ...,  0.00681181 -0.00322732
 -0.00985757]","[ 0.11221341  0.1118361   0.10482683 ..., -0.00275822 -0.00193397
 -0.00378612]"
"[-0.02855223 -0.28805403  0.1771329  ..., -0.03447976 -0.01927745
 -0.03422943]","[ 0.10361449  0.03230391 -0.08021531 ...,  0.00419154  0.01081539
  0.0005633 ]","[ 0.26929086  0.19455548  0.04650014 ...,  0.01729964  0.0008665
 -0.01193793]","[ 0.34447339  0.00944392 -0.34916368 ..., -0.00055949  0.00100604
  0.00346122]","[-0.09545655 -0.25777096 -0.02208459 ..., -0.00244258  0.00259978
 -0.0042496 ]","[ 0.05157687 -0.31985556 -0.09593843 ...,  0.02061118 -0.00060488
 -0.00680414]","[-0.07822481  0.00263746  0.34220167 ..., -0.01605531  0.02255901
  0.00511871]","[ 0.11942941  0.34730737  0.26230833 ...,  0.00376096 -0.00291141
  0.00182436]","[-0.25712913  0.32568798  0.04961313 ...,  0.0062295  -0.00276576
 -0.00914202]","[ 0.11237741  0.11180098  0.10484709 ..., -0.00284081 -0.0022325
 -0.00374605]"
"[-0.02373739 -0.29529964  0.17630116 ..., -0.02956489 -0.02614477
 -0.03854626]","[ 0.10356809  0.03231445 -0.08014339 ...,  0.00426752  0.01095605
  0.00034672]","[ 0.26886028  0.19486092  0.0467925  ...,  0.02004886  0.00146657
 -0.01054077]","[ 0.34450925  0.00948621 -0.34925949 ..., -0.00073446  0.00103435
  0.00349553]","[-0.09571089 -0.25794741 -0.02192553 ..., -0.00219548  0.00285818
 -0.00452473]","[ 0.05207894 -0.31987014 -0.09654814 ...,  0.0201875  -0.00119101
 -0.00772351]","[-0.07872773  0.00083648  0.3418319  ..., -0.01614415  0.02366     0.00412734]","[ 0.1172495   0.34685589  0.26526955 ...,  0.00557941 -0.00454781
 -0.00208508]","[-0.25714331  0.3258784   0.04948685 ...,  0.00611567 -0.0019794
 -0.00859764]","[ 0.11252836  0.11174946  0.10484617 ..., -0.00290559 -0.00243478
 -0.00359797]"
"[-0.02155374 -0.30408686  0.17052549 ..., -0.02652779 -0.04274243
 -0.04205898]","[ 0.10357869  0.03231996 -0.0801364  ...,  0.00424961  0.01097056
  0.00018071]","[ 0.26856756  0.19463456  0.04728642 ...,  0.02092023  0.00314777
 -0.00955671]","[ 0.34451619  0.00948195 -0.34925891 ..., -0.0008036   0.00069602
  0.00356362]","[-0.09591319 -0.25820588 -0.02182624 ..., -0.00198999  0.00299333
 -0.00462143]","[ 0.05425959 -0.32032551 -0.09822532 ...,  0.02096344 -0.0013014
 -0.01104271]","[ -7.90018151e-02  -1.08648513e-05   3.41595032e-01 ...,  -1.59864216e-02
   2.52627946e-02   3.87996207e-03]","[ 0.11809554  0.34728928  0.26354621 ...,  0.0076163  -0.00838988
 -0.00485441]","[-0.25723965  0.32675238  0.04923361 ...,  0.00578182 -0.00178915
 -0.00990809]","[ 0.11273762  0.11174711  0.10485473 ..., -0.00286791 -0.0027787
 -0.00385711]"
