policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[-0.04870574 -0.33817842  0.19468056 ...,  0.005      -0.004       0.006     ]","[ 0.11389478  0.04556079 -0.07731221 ...,  0.001       0.003       0.029     ]","[ 0.27208648  0.19753726  0.05307464 ...,  0.013      -0.017      -0.011     ]","[ 0.34197114  0.00903673 -0.34809268 ..., -0.003      -0.009       0.003     ]","[-0.10601168 -0.28495643 -0.01853546 ..., -0.007       0.001      -0.002     ]","[ 0.06500437 -0.33957923 -0.10100993 ...,  0.002       0.009      -0.005     ]","[-0.07646845  0.00103571  0.33660513 ...,  0.002      -0.009      -0.003     ]","[ 0.12232041  0.33521599  0.2466886  ...,  0.02       -0.005      -0.005     ]","[-0.25104403  0.33331444  0.04456375 ..., -0.013      -0.003       0.007     ]","[ 0.11616303  0.10504301  0.112989   ...,  0.003      -0.005      -0.007     ]"
"[-0.04870573 -0.33617843  0.19268056 ...,  0.004      -0.006       0.008     ]","[  1.12894784e-01   4.65607835e-02  -7.53122108e-02 ...,   2.28158732e-10
   1.00000114e-03   3.19999995e-02]","[ 0.27108648  0.19553726  0.05307464 ...,  0.015      -0.02       -0.011     ]","[ 0.34397114  0.01203673 -0.35309268 ..., -0.005      -0.007       0.002     ]","[-0.10651168 -0.28545643 -0.01903546 ..., -0.0075      0.0025     -0.0015    ]","[ 0.06600437 -0.33957923 -0.10100994 ...,  0.007       0.013      -0.005     ]","[-0.07946845 -0.00196429  0.33660513 ...,  0.005      -0.007      -0.001     ]","[ 0.12032041  0.33421599  0.2486886  ...,  0.024      -0.002      -0.003     ]","[-0.25004403  0.33331444  0.04556375 ..., -0.012      -0.004       0.008     ]","[ 0.11116303  0.10604301  0.108989   ...,  0.001      -0.006      -0.008     ]"
"[-0.04470574 -0.33117843  0.18768056 ...,  0.001      -0.007       0.012     ]","[  1.13894783e-01   4.85607799e-02  -7.53122116e-02 ...,  -1.99999977e-03
   1.12000703e-09   3.39999995e-02]","[ 0.27058648  0.19503726  0.05257464 ...,  0.0145     -0.0215     -0.0125    ]","[ 0.34397114  0.01403673 -0.35509268 ..., -0.007      -0.004       0.003     ]","[-0.10801167 -0.28095643 -0.01553546 ..., -0.011       0.006      -0.003     ]","[ 0.06700437 -0.34057923 -0.10200994 ...,  0.01        0.016      -0.005     ]","[-0.08046845 -0.00296429  0.33460513 ...,  0.007      -0.007       0.001     ]","[ 0.11982041  0.33371599  0.2491886  ...,  0.0245     -0.0015     -0.0035    ]","[-0.25304403  0.33331444  0.04256375 ..., -0.011      -0.004       0.006     ]","[ 0.11066303  0.10554301  0.108489   ...,  0.0005     -0.0055     -0.0085    ]"
"[-0.04420574 -0.32767843  0.18418056 ..., -0.0005     -0.0105      0.0155    ]","[  1.13894786e-01   4.75607958e-02  -7.73122024e-02 ...,   1.24519923e-10
   1.01139765e-09   3.19999998e-02]","[ 0.26908648  0.19353726  0.05207464 ...,  0.016      -0.022      -0.011     ]","[ 0.34397115  0.01703673 -0.35809267 ..., -0.008      -0.003       0.006     ]","[-0.11001167 -0.27695643 -0.01153546 ..., -0.012       0.009      -0.005     ]","[ 0.06600437 -0.34057924 -0.10400994 ...,  0.008       0.019      -0.002     ]","[-0.08046845 -0.00296429  0.33660512 ...,  0.006      -0.006       0.001     ]","[ 0.11432041  0.33021599  0.2546886  ...,  0.03       -0.005      -0.007     ]","[-0.25704403  0.33431444  0.04056375 ..., -0.012      -0.002       0.004     ]","[ 0.10616303  0.10304301  0.104989   ..., -0.004      -0.003      -0.01      ]"
"[-0.04370574 -0.32517843  0.18168056 ...,  0.002      -0.01        0.018     ]","[ 0.11589479  0.05056079 -0.0743122  ...,  0.003      -0.001       0.034     ]","[ 0.26708648  0.19153726  0.04907464 ...,  0.017      -0.026      -0.013     ]","[ 0.34497115  0.02103673 -0.36109267 ..., -0.01       -0.001       0.008     ]","[-0.11001167 -0.27795643 -0.01153546 ..., -0.012       0.009      -0.006     ]","[ 0.06400437 -0.33857924 -0.10800993 ...,  0.006       0.018       0.002     ]","[-0.07946845 -0.00396429  0.33760512 ...,  0.006      -0.007      -0.001     ]","[ 0.11132041  0.32721599  0.2596886  ...,  0.032      -0.008      -0.009     ]","[-0.25654403  0.33281444  0.04106375 ..., -0.0125     -0.0015      0.0035    ]","[ 0.10116303  0.09904301  0.105989   ..., -0.009      -0.001      -0.011     ]"
"[-0.03970574 -0.32017843  0.17668056 ...,  0.007      -0.015       0.023     ]","[ 0.11639479  0.05206079 -0.0728122  ...,  0.0045     -0.0025      0.0345    ]","[ 0.26608648  0.19153726  0.05007464 ...,  0.018      -0.027      -0.014     ]","[ 0.34347115  0.02353673 -0.36359267 ..., -0.0115      0.0005      0.0095    ]","[-0.11301167 -0.27595644 -0.01053546 ..., -0.01        0.007      -0.011     ]","[ 0.06250437 -0.33907924 -0.10950993 ...,  0.0045      0.0175      0.0045    ]","[-0.08096845 -0.00546429  0.33710512 ...,  0.0065     -0.0065      0.0005    ]","[ 0.11232041  0.32821599  0.2586886  ...,  0.033      -0.007      -0.01      ]","[-0.25504404  0.33031444  0.04256374 ..., -0.01       -0.004       0.006     ]","[ 0.10016303  0.09904301  0.105989   ..., -0.01       -0.001      -0.011     ]"
"[-0.03770574 -0.31717843  0.17368056 ...,  0.009      -0.013       0.026     ]","[ 0.11689478  0.04956081 -0.0723122  ...,  0.008      -0.002       0.033     ]","[ 0.26308648  0.19053726  0.04607464 ...,  0.018      -0.03       -0.011     ]","[ 0.34497114  0.02603673 -0.36509267 ..., -0.013       0.003       0.007     ]","[-0.11601167 -0.27595644 -0.00853546 ..., -0.008       0.006      -0.015     ]","[ 0.06000437 -0.33557924 -0.10900993 ...,  0.001       0.016       0.004     ]","[-0.08446845 -0.00696428  0.33360513 ...,  0.008      -0.009       0.004     ]","[ 0.11232041  0.32921599  0.2566886  ...,  0.033      -0.006      -0.012     ]","[-0.25604404  0.32531444  0.04256374 ..., -0.007      -0.003       0.005     ]","[ 0.09616303  0.09604301  0.100989   ..., -0.014      -0.004      -0.012     ]"
"[-0.03770574 -0.31717845  0.17368056 ...,  0.006      -0.01        0.023     ]","[ 0.11489478  0.05156081 -0.06931221 ...,  0.011      -0.003       0.03      ]","[ 0.26208648  0.19253726  0.04607464 ...,  0.017      -0.03       -0.009     ]","[ 0.34397114  0.02903673 -0.36609267 ..., -0.017       0.006       0.008     ]","[-0.11551167 -0.27545644 -0.00903546 ..., -0.0085      0.0055     -0.0155    ]","[ 0.05700437 -0.33257924 -0.10800993 ..., -0.003       0.015       0.006     ]","[-0.08846845 -0.00896428  0.33060513 ...,  0.008      -0.014       0.004     ]","[ 0.11082041  0.33271599  0.2581886  ...,  0.0325     -0.0085     -0.0125    ]","[-0.25604404  0.32431444  0.04256374 ..., -0.006      -0.003       0.005     ]","[ 0.09416303  0.09104301  0.097989   ..., -0.015      -0.008      -0.013     ]"
"[-0.03470574 -0.31517845  0.17068056 ...,  0.001      -0.005       0.02      ]","[ 0.11489478  0.05256081 -0.06931221 ...,  0.013      -0.003       0.029     ]","[ 0.26258648  0.19303726  0.04457464 ...,  0.0175     -0.0305     -0.0085    ]","[ 0.34197114  0.02903673 -0.36509267 ..., -0.017       0.007       0.008     ]","[-0.11601167 -0.27495644 -0.00853546 ..., -0.006       0.004      -0.021     ]","[ 0.05600437 -0.33257924 -0.10800993 ..., -0.004       0.014       0.006     ]","[-0.09046845 -0.00996428  0.32860513 ...,  0.009      -0.015       0.003     ]","[ 0.11132041  0.33421599  0.2576886  ...,  0.031      -0.007      -0.012     ]","[-0.25854404  0.32381444  0.04206374 ..., -0.0025     -0.0035      0.0045    ]","[ 0.09366303  0.09054301  0.097489   ..., -0.0155     -0.0085     -0.0135    ]"
"[-0.03220574 -0.31667845  0.16818056 ...,  0.0005     -0.0025      0.0175    ]","[  1.12894785e-01   5.55608061e-02  -6.73122057e-02 ...,   1.30000016e-02
   8.65877657e-10   2.70000000e-02]","[ 0.26508648  0.19553726  0.04407464 ...,  0.014      -0.033      -0.011     ]","[ 0.33997114  0.02503673 -0.36209267 ..., -0.015       0.008       0.008     ]","[-0.11501167 -0.27195644 -0.00853546 ..., -0.006       0.003      -0.026     ]","[ 0.05800437 -0.33357924 -0.10400995 ..., -0.004       0.014       0.008     ]","[ -8.84684530e-02  -7.96428506e-03   3.27605144e-01 ...,   5.99999971e-03
  -1.80000000e-02   4.49970305e-10]","[ 0.11132041  0.33721599  0.2576886  ...,  0.028      -0.007      -0.014     ]","[-0.25954404  0.32581444  0.04006375 ..., -0.0045     -0.0025      0.0025    ]","[ 0.09616303  0.091043    0.098989   ..., -0.012      -0.009      -0.017     ]"
"[-0.02970574 -0.32017844  0.16568056 ...,  0.004       0.001       0.014     ]","[ 0.11389478  0.05656081 -0.06631221 ...,  0.012      -0.001       0.026     ]","[ 0.26508648  0.19653726  0.04107464 ...,  0.012      -0.032      -0.012     ]","[ 0.33997114  0.02303673 -0.35909267 ..., -0.014       0.009       0.012     ]","[-0.11401167 -0.27095644 -0.00953546 ..., -0.007       0.002      -0.02699999]","[ 0.05900437 -0.33257924 -0.10000995 ...,  0.001       0.012       0.007     ]","[-0.08646845 -0.00496429  0.32760514 ...,  0.004      -0.019      -0.003     ]","[ 0.11232041  0.34021599  0.2556886  ...,  0.026      -0.007      -0.013     ]","[-0.25804404  0.32431444  0.04156375 ..., -0.004      -0.001       0.001     ]","[ 0.09816303  0.092043    0.098989   ..., -0.012      -0.011      -0.02      ]"
"[-0.02870574 -0.32217844  0.16568056 ...,  0.007       0.004       0.009     ]","[ 0.11789478  0.0605608  -0.06231221 ...,  0.012      -0.002       0.026     ]","[ 0.26508648  0.19653726  0.04107464 ...,  0.011      -0.033      -0.012     ]","[ 0.33997114  0.02403673 -0.35909267 ..., -0.015       0.01        0.013     ]","[-0.11001167 -0.26695644 -0.00953546 ..., -0.01       -0.001      -0.02999999]","[ 0.05850437 -0.33207924 -0.09950995 ...,  0.0005      0.0105      0.0065    ]","[-0.08496845 -0.00346429  0.32810514 ...,  0.0025     -0.0195     -0.0025    ]","[ 0.11232041  0.34121599  0.2576886  ...,  0.028      -0.005      -0.012     ]","[ -2.57044041e-01   3.21314443e-01   4.65637449e-02 ...,  -5.00000034e-03
   2.58130956e-10  -2.99999883e-03]","[ 0.09916303  0.091043    0.099989   ..., -0.011      -0.012      -0.021     ]"
"[-0.02970574 -0.32217844  0.16768056 ...,  0.008       0.002       0.007     ]","[ 0.12039478  0.0650608  -0.05781221 ...,  0.0105     -0.0045      0.0265    ]","[ 0.26308649  0.19353726  0.03707464 ...,  0.008      -0.031      -0.013     ]","[ 0.34197114  0.02803673 -0.36309267 ..., -0.019       0.013       0.017     ]","[ -1.07011674e-01  -2.62956437e-01  -1.05354631e-02 ...,  -1.09999977e-02
   3.40736379e-09  -2.99999950e-02]","[ 0.05600437 -0.32957925 -0.09700995 ..., -0.002       0.006       0.004     ]","[-0.08946845 -0.00696429  0.32660515 ...,  0.004      -0.016      -0.005     ]","[ 0.11332041  0.34321599  0.2586886  ...,  0.029      -0.004      -0.013     ]","[-0.25804404  0.32131444  0.04656374 ..., -0.005      -0.001      -0.002     ]","[ 0.09716303  0.088043    0.099989   ..., -0.013      -0.013      -0.024     ]"
"[-0.02870574 -0.32517844  0.1666805  ...,  0.007      -0.002       0.008     ]","[ 0.11889479  0.0655608  -0.05631221 ...,  0.01       -0.003       0.028     ]","[ 0.26108649  0.19253726  0.03407464 ...,  0.008      -0.032      -0.014     ]","[ 0.34347114  0.03053673 -0.36559267 ..., -0.0205      0.0135      0.0195    ]","[-0.10901167 -0.26495644 -0.00853546 ..., -0.01       -0.002      -0.03      ]","[ 0.05800437 -0.33057925 -0.09700995 ..., -0.001       0.001       0.002     ]","[-0.09346845 -0.01196429  0.32360515 ...,  0.007      -0.014      -0.006     ]","[ 0.11582041  0.34471599  0.2561886  ...,  0.0295     -0.0015     -0.0145    ]","[-0.26004404  0.32031444  0.04656374 ..., -0.003      -0.002      -0.002     ]","[ 0.09616303  0.087043    0.098989   ..., -0.014      -0.012      -0.023     ]"
"[-0.02870574 -0.32817844  0.1636805  ...,  0.008      -0.007       0.008     ]","[ 0.12189479  0.0675608  -0.05231221 ...,  0.008      -0.001       0.029     ]","[ 0.26058649  0.19303726  0.03457464 ...,  0.0085     -0.0315     -0.0135    ]","[ 0.34347114  0.02953673 -0.36459268 ..., -0.0215      0.0155      0.0175    ]","[-0.11001167 -0.26895644 -0.00853546 ..., -0.007      -0.005      -0.03      ]","[  5.70043707e-02  -3.29579248e-01  -9.70099484e-02 ...,  -1.99999993e-03
   3.89327303e-09   1.00000161e-03]","[-0.09446845 -0.01296429  0.32360515 ...,  0.008      -0.014      -0.007     ]","[ 0.11432041  0.34721599  0.2586886  ...,  0.027      -0.002      -0.017     ]","[ -2.60044039e-01   3.16314443e-01   4.65637405e-02 ...,  -1.00000037e-03
  -2.99999971e-03   1.03884570e-09]","[ 0.09216303  0.085043    0.097989   ..., -0.018      -0.008      -0.024     ]"
"[-0.03020574 -0.32967844  0.1631805  ...,  0.0075     -0.0085      0.0085    ]","[ 0.12089479  0.0675608  -0.05031221 ...,  0.007      -0.001       0.029     ]","[ 0.25708649  0.19153726  0.03607464 ...,  0.012      -0.031      -0.01      ]","[ 0.34497114  0.02803673 -0.36309268 ..., -0.02        0.016       0.019     ]","[-0.10751167 -0.26545644 -0.01103546 ..., -0.0075     -0.0085     -0.0285    ]","[ 0.05300437 -0.32657925 -0.09300995 ...,  0.002       0.001       0.003     ]","[-0.09346845 -0.00996429  0.32060515 ...,  0.007      -0.01       -0.012     ]","[ 0.10932041  0.34821599  0.2616886  ...,  0.025      -0.005      -0.019     ]","[-0.26254404  0.31481444  0.04506374 ...,  0.0015     -0.0035      0.0005    ]","[ 0.08866303  0.084543    0.096489   ..., -0.0205     -0.0045     -0.0255    ]"
"[-0.02970786 -0.33417843  0.16068051 ...,  0.009      -0.007       0.012     ]","[ 0.12289473  0.0715608  -0.04631221 ...,  0.007       0.001       0.03      ]","[ 0.25308649  0.19053726  0.03307464 ...,  0.015      -0.029      -0.012     ]","[ 0.34597114  0.02703673 -0.36109268 ..., -0.017       0.018       0.023     ]","[-0.10901167 -0.26595644 -0.01053546 ..., -0.006      -0.011      -0.03      ]","[ 0.05300437 -0.32457925 -0.09300995 ...,  0.006       0.004       0.004     ]","[-0.09446845 -0.00896428  0.31960515 ...,  0.008      -0.006      -0.015     ]","[ 0.11132041  0.35021599  0.2596886  ...,  0.023      -0.007      -0.021     ]","[-0.26304404  0.31631444  0.04456374 ..., -0.001      -0.005      -0.001     ]","[ 0.09016303  0.084043    0.097989   ..., -0.019      -0.005      -0.025     ]"
"[-0.03370786 -0.33617843  0.16268051 ...,  0.011      -0.006       0.014     ]","[ 0.12389473  0.0725608  -0.04531221 ...,  0.009       0.001       0.032     ]","[ 0.25208649  0.18953726  0.03207464 ...,  0.016      -0.028      -0.013     ]","[ 0.34297114  0.02603673 -0.35709268 ..., -0.015       0.02        0.026     ]","[-0.11301167 -0.26295644 -0.00953546 ..., -0.005      -0.014      -0.033     ]","[ 0.05250437 -0.32407925 -0.09250995 ...,  0.0065      0.0045      0.0045    ]","[-0.09496845 -0.00946428  0.32010515 ...,  0.0075     -0.0055     -0.0155    ]","[ 0.11232041  0.35321599  0.2586886  ...,  0.02       -0.005      -0.023     ]","[-0.26704404  0.31331444  0.04356374 ...,  0.001      -0.003      -0.002     ]","[ 0.08916303  0.084043    0.097989   ..., -0.022      -0.006      -0.023     ]"
"[-0.03470786 -0.33517843  0.16368051 ...,  0.012      -0.005       0.014     ]","[ 0.12439473  0.0730608  -0.04481221 ...,  0.0085      0.0005      0.0325    ]","[ 0.25108649  0.18653726  0.03207464 ...,  0.019      -0.024      -0.014     ]","[ 0.34297114  0.02703671 -0.35609268 ..., -0.016       0.022       0.024     ]","[-0.11401167 -0.26195644 -0.00853546 ..., -0.005      -0.017      -0.036     ]","[ 0.05000437 -0.32157925 -0.09400995 ...,  0.001       0.006       0.003     ]","[-0.10046845 -0.01396428  0.31660515 ...,  0.01       -0.002      -0.015     ]","[ 0.11432041  0.35521599  0.2596886  ...,  0.015      -0.004      -0.026     ]","[-0.26704404  0.31231444  0.04156374 ...,  0.002      -0.004      -0.004     ]","[ 0.08916303  0.085043    0.100989   ..., -0.022      -0.006      -0.022     ]"
"[-0.03270787 -0.33017843  0.1646805  ...,  0.015      -0.001       0.013     ]","[ 0.12189473  0.0695608  -0.04631221 ...,  0.012       0.002       0.035     ]","[ 0.24958649  0.18303726  0.03057464 ...,  0.0165     -0.0215     -0.0155    ]","[ 0.34197114  0.02803671 -0.35509268 ..., -0.014       0.026       0.023     ]","[-0.11201167 -0.25995644 -0.00753546 ..., -0.007      -0.019      -0.036     ]","[ 0.05100437 -0.32257946 -0.09600995 ..., -0.002       0.006       0.002     ]","[ -1.05468454e-01  -1.59642851e-02   3.14605146e-01 ...,   1.09999997e-02
  -1.60525935e-10  -1.70000001e-02]","[ 0.11482041  0.35671599  0.2601886  ...,  0.0125     -0.0055     -0.0285    ]","[ -2.66044043e-01   3.09314438e-01   4.45637432e-02 ...,  -1.79639097e-10
  -5.99999960e-03  -2.99999898e-03]","[ 0.08816303  0.084043    0.102989   ..., -0.024      -0.008      -0.02      ]"
"[-0.03270787 -0.32817844  0.1656805  ...,  0.019       0.004       0.01      ]","[ 0.11789473  0.0675608  -0.04931221 ...,  0.015       0.003       0.039     ]","[ 0.24808649  0.18353726  0.02907464 ...,  0.017      -0.022      -0.017     ]","[ 0.34147114  0.02553671 -0.35359268 ..., -0.0155      0.0285      0.0235    ]","[-0.11301167 -0.25895644 -0.00753546 ..., -0.007      -0.023      -0.036     ]","[ 0.05200437 -0.32357945 -0.09700995 ..., -0.003       0.005       0.003     ]","[-0.10446846 -0.01496429  0.31360515 ...,  0.012       0.001      -0.016     ]","[ 0.11332041  0.35421613  0.25768861 ...,  0.01       -0.004      -0.028     ]","[-0.26704404  0.30531444  0.04756374 ..., -0.002      -0.005      -0.002     ]","[ 0.08716303  0.082043    0.105989   ..., -0.029      -0.012      -0.018     ]"
"[-0.03220788 -0.32767844  0.1661805  ...,  0.0195      0.0045      0.0095    ]","[ 0.11789473  0.0685608  -0.05031221 ...,  0.016       0.002       0.038     ]","[ 0.24608649  0.18353726  0.02607464 ...,  0.018      -0.021      -0.014     ]","[ 0.34197114  0.02503671 -0.35709268 ..., -0.014       0.032       0.023     ]","[-0.11251167 -0.25845644 -0.00703546 ..., -0.0055     -0.0235     -0.0365    ]","[ 0.05300437 -0.32657945 -0.10200995 ..., -0.005       0.003       0.004     ]","[-0.10546846 -0.01196429  0.30960515 ...,  0.01        0.004      -0.015     ]","[ 0.10932041  0.35521613  0.25868861 ...,  0.009      -0.001      -0.026     ]","[-0.26554404  0.30281444  0.05006374 ..., -0.0025     -0.0055     -0.0005    ]","[ 0.08666303  0.080543    0.107489   ..., -0.0285     -0.0125     -0.0145    ]"
